id,parent_id,code,type,name,description,location,latitude,longitude
10000,NULL,,0,Центральная комиссия,"Дом Правительства, правое крыло","г. Минск, ул. Советская, 11",53.89618,27.546257
1,10000,1,1,ОИК 1,здание администрации Ленинского района г.Бреста кабинет 208,"г.Брест, ул.Ленина,13",52.0932375,23.6847892
2,1,1/1,2,Участок для голосования №1,"УО ""Брестский государственный музыкальный колледж им.г.Ширмы""","г.Брест, ул.Гоголя, 7",52.0895,23.6806
3,1,1/2,2,Участок для голосования №2,"УО ""Брестский государственный торгово-технологический колледж""","г.Брест, ул.Героев обороны Брестской крепости, 78",52.0913,23.6527
4,1,1/3,2,Участок для голосования №3,"УО ""Брестский государственный профессиональный лицей строителей""","г.Брест, ул.Пригородная, 27",52.0989,23.6524
5,1,1/4,2,Участок для голосования №4,"УО ""Брестское государственное областное училище олимпийского резерва""","г.Брест, ул.Пригородная, 27",52.0989,23.6524
6,1,1/5,2,Участок для голосования №5,"общежитие ОАО ""Брестский мясокомбинат""","г.Брест, ул.Смирнова, 21",52.0995,23.6497
7,1,1/6,2,Участок для голосования №6,"ГУО ""Средняя школа №5 г.Бреста""","г.Брест, ул.Смирнова, 63",52.1047,23.647
8,1,1/7,2,Участок для голосования №7,"ГУО ""Средняя школа №27 г.Бреста""","г.Брест, ул.Адамковская, 58/1",52.1049,23.651
9,1,1/8,2,Участок для голосования №8,"УП ""Брествторчермет""","г.Брест, ул.Бауманская, 40",52.1145,23.6463
10,1,1/9,2,Участок для голосования №9,"ОАО ""Брестхлебопродукт""","г.Брест, ул.Поплавского, 54",52.097516,23.663421
11,1,1/10,2,Участок для голосования №10,"КУП ""Брестский городской ремонтно-строительный трест""","г.Брест, ул.л-та Рябцева, 110",52.1393,23.6748
12,1,1/11,2,Участок для голосования №11,"ГУО ""Гимназия №5""","г.Брест, ул.Дубровская, 14",52.128,23.6527
13,1,1/12,2,Участок для голосования №12,"ГУО ""Средняя школа №33 г.Бреста""","г.Брест, ул.Белорусская, 64",52.1197,23.6567
14,1,1/13,2,Участок для голосования №13,"ГУО ""Ясли-сад №36 г.Бреста""","г.Брест, ул.Дубровская,15",52.1275,23.6564
15,1,1/14,2,Участок для голосования №14,"ГУО ""Средняя школа №8 г.Бреста им.Героя Беларуси В.Н.Карвата""","г.Брест, ул.Железнодорожная, 16",52.100836,23.670469
16,1,1/15,2,Участок для голосования №15,"ГУО ""Средняя школа №13 г.Бреста им.В.И.Хована""","г.Брест, пр.Машерова,33",52.086178,23.699847
17,1,1/16,2,Участок для голосования №16,"ГУО ""Брестский областной лицей им.П.М.Машерова""","г.Брест, пр.Машерова, 25",52.0853,23.6988
18,1,1/17,2,Участок для голосования №17,"ГУО ""Средняя школа №18 г.Бреста""","г.Брест, ул.Ленина, 70",52.0886,23.6872
19,1,1/18,2,Участок для голосования №18,Клуб связи,"г.Брест, ул.Советских пограничников, 31",52.0868,23.691
20,1,1/19,2,Участок для голосования №19,"Общежитие УО ""БрГУ им.А.С.Пушкина""","г.Брест, ул.Дзержинского, 3",52.0883,23.6884
21,1,1/20,2,Участок для голосования №20,"ГУО ""Средняя школа №20 г.Бреста""","г.Брест, ул.Карбышева, 81",52.0907,23.6983
22,1,1/21,2,Участок для голосования №21,"ГУО ""Средняя школа №20 г.Бреста""","г.Брест, ул.Карбышева, 81",52.0907,23.6983
23,1,1/22,2,Участок для голосования №22,"Общежитие №1 Брестского колледжа – филиала УО ""Белорусский государственный университет транспорта""","г.Брест, ул.Гоголя, 63",52.0932,23.6971
24,1,1/23,2,Участок для голосования №23,"Ресурсный центр УО ""Брестский государственный торгово-технологический колледж""","г.Брест, ул.Карбышева, 31",52.0963,23.6944
25,1,1/24,2,Участок для голосования №24,Брестское областное объединение профсоюзов,"г.Брест, ул.К.Маркса, 19",52.0949,23.6854
26,1,1/25,2,Участок для голосования №25,"ГУО ""Ясли-сад №79 г.Бреста""","г.Брест, ул.Березовская, 7",52.1131,23.729
27,1,1/26,2,Участок для голосования №26,"УО ""БрГУ им.А.С.Пушкина""","г.Брест, б-р Космонавтов, 21",52.0983,23.6942
28,1,1/27,2,Участок для голосования №27,"ГУ ""Брестская областная филармония""","г.Брест, ул.Орджоникидзе, 14",52.0995,23.6858
29,1,1/28,2,Участок для голосования №28,"Дом культуры транспортного РУП ""Брестское отделение Бел.ж.д.""","г.Брест, ул.Кижеватова, 9/1",52.1007,23.6779
30,1,1/29,2,Участок для голосования №29,"ГУО ""Средняя школа №17 г.Бреста""","г.Брест, ул.Северная, 20",52.1095,23.6789
31,1,1/30,2,Участок для голосования №30,"Филиал РУП ""Брестэнерго"" Брестские электрические сети","г.Брест, ул.Красногвардейская, 92",52.1178,23.6878
32,1,1/31,2,Участок для голосования №31,"ГП ""Брестводоканал""","г.Брест, ул.Красногвардейская, 125",52.1227,23.6955
33,1,1/32,2,Участок для голосования №32,"ГУО ""Средняя школа №16 г.Бреста""","г.Брест, ул.Красногвардейская, 59",52.1117,23.6862
34,1,1/33,2,Участок для голосования №33,Брестская дистанция пути,"г.Брест, пер.Фортечный, 12",52.1079,23.7057
35,1,1/34,2,Участок для голосования №34,"ГУО ""Средняя школа №32 г.Бреста""","г.Брест, ул.Строительная, 21",52.1135,23.7311
36,1,1/35,2,Участок для голосования №35,"ГУО ""Средняя школа №32 г.Бреста""","г.Брест, ул.Строительная, 21",52.1135,23.7311
37,1,1/36,2,Участок для голосования №36,"ГУО ""Гимназия №3 г.Бреста""","г.Брест, ул.Смирнова, 63",52.1047,23.647
38,1,1/37,2,Участок для голосования №37,"УЗ ""Брестская городская больница №2""","г.Брест, ул.Школьная, 8",52.1038,23.6441
39,1,1/38,2,Участок для голосования №38,"УЗ ""Брестская городская больница СМП""","г.Брест, ул.Ленина, 15",52.0923,23.6856
40,1,1/39,2,Участок для голосования №39,"УЗ ""Брестская городская больница №1""","г.Брест, ул.Кижеватова, 76",52.1066,23.6908
41,1,1/40,2,Участок для голосования №40,"ГУО ""Гимназия №5""","г.Брест, ул.Дубровская, 14",52.128,23.6527
42,1,1/41,2,Участок для голосования №41,"Филиал СМУ-1 ОАО ""Белсельэлектрострой""","г.Брест, ул.Красногвардейская, 112/1",52.126506,23.698341
43,1,1/42,2,Участок для голосования №42,"Торговый центр ""Вам Рад""","г.Брест, ул.Старозадворская, 4",52.1216,23.7723
44,1,1/43,2,Участок для голосования №43,"ГУО ""Средняя школа №33 г.Бреста""","г.Брест, ул.Белорусская, 64",52.1197,23.6567
45,1,1/44,2,Участок для голосования №44,"ГУО ""Средняя школа №9 г.Бреста""","г.Брест, ул.Наганова, 3",52.0904,23.6784
46,10000,2,1,ОИК 2,здание администрации Московского района г.Бреста кабинет 85,"г.Брест, ул.Московская, 273",52.0987962,23.7666591
47,46,2/1,2,Участок для голосования №1,"общежитие №10 КУП ""ЖРЭУ г.Бреста""","г.Брест, ул.Краснознамённая, 5",52.0877,23.7163
48,46,2/2,2,Участок для голосования №2,административное здание,"г.Брест, б-р Шевченко, 4",52.0864,23.7043
49,46,2/3,2,Участок для голосования №3,административное здание,"г.Брест, б-р Шевченко, 4",52.0864,23.7043
50,46,2/4,2,Участок для голосования №4,"ГУО ""Средняя школа №15 г.Бреста""","г.Брест, пр.Машерова, 55",52.0874,23.7063
51,46,2/5,2,Участок для голосования №5,"ГУО ""Средняя школа №15 г.Бреста""","г.Брест, пр.Машерова, 55",52.0874,23.7063
52,46,2/6,2,Участок для голосования №6,"УО ""Брестский государственный колледж связи""","г.Брест, ул.Кирова, 82",52.0908,23.7046
53,46,2/7,2,Участок для голосования №7,"УО ""Брестский государственный колледж связи""","г.Брест, ул.Кирова, 82",52.0908,23.7046
54,46,2/8,2,Участок для голосования №8,"ГУО ""Средняя школа №19 г.Бреста""","г.Брест, ул.Сикорского, 86",52.0923,23.7181
55,46,2/9,2,Участок для голосования №9,"УЗ ""Брестский областной родильный дом""","г.Брест, ул.Кирова, 62",52.0926,23.7043
56,46,2/10,2,Участок для голосования №10,"ГУО ""Средняя школа №3 г.Бреста""","г.Брест, б-р Космонавтов, 60",52.0966,23.6979
57,46,2/11,2,Участок для голосования №11,"ГУО ""Средняя школа №7 г.Бреста""","г.Брест, ул.Горького, 20",52.1005,23.6985
58,46,2/12,2,Участок для голосования №12,"Брестский колледж-филиал УО ""Белорусский государственный университет транспорта""","г.Брест, ул.Пушкинская, 65",52.0995,23.7017
59,46,2/13,2,Участок для голосования №13,"УО ""Брестский областной эколого-биологический центр учащихся""","г.Брест, ул.Тихая, 4/1",52.105,23.7106
60,46,2/14,2,Участок для голосования №14,"ГУО ""Средняя школа №6 г.Бреста""","г.Брест, ул.Панфиловцев, 22",52.1004,23.7152
61,46,2/15,2,Участок для голосования №15,"Общежитие ОАО ""Ковры Бреста""","г.Брест, ул.Высокая, 22/1",52.0976,23.7238
62,46,2/16,2,Участок для голосования №16,"Общежитие №20 КУП ""ЖРЭУ г.Бреста""","г.Брест, ул.Пионерская, 77",52.0977,23.7296
63,46,2/17,2,Участок для голосования №17,"Общежитие №4 ОАО ""Строительный трест №8""","г.Брест, ул.Пионерская, 46/1",52.1013,23.726
64,46,2/18,2,Участок для голосования №18,"УО ""Брестский государственный профессионально-технический колледж приборостроения""","г.Брест, ул.Я.Купалы, 6/1",52.101576,23.727763
65,46,2/19,2,Участок для голосования №19,"ГУО ""Брестский областной институт развития образования""","г.Брест, ул.Я.Купалы, 20/1",52.10588,23.73139
66,46,2/20,2,Участок для голосования №20,"ГУО ""Средняя школа №22 г.Бреста""","г.Брест, ул.Я.Купалы, 20",52.10455,23.733143
67,46,2/21,2,Участок для голосования №21,"ГУО ""Средняя школа №31 г.Бреста""","г.Брест, ул.Я.Купалы, 30/1",52.1063,23.7342
68,46,2/22,2,Участок для голосования №22,"УО ""Брестский профессиональный лицей лёгкой промышленности""","г.Брест, ул.Я.Купалы, 52",52.106,23.7333
69,46,2/23,2,Участок для голосования №23,"Общежитие ОАО ""Брестский электроламповый завод""","г.Брест, ул.Молодогвардейская, 6",52.1044,23.7526
70,46,2/24,2,Участок для голосования №24,"Общежитие СП ""Веставто"" ОАО","г.Брест, ул.Я.Купалы, 111/1",52.109444,23.75295
71,46,2/25,2,Участок для голосования №25,"Общежитие ОАО ""Савушкин продукт""","г.Брест, ул.Я.Купалы, 115",52.110142,23.756894
72,46,2/26,2,Участок для голосования №26,"ГУО ""Средняя школа №24 г.Бреста""","г.Брест, ул.Ленинградская, 11",52.1091,23.7622
73,46,2/27,2,Участок для голосования №27,"ГУО ""Средняя школа №24 г.Бреста""","г.Брест, ул.Ленинградская, 11",52.1091,23.7622
74,46,2/28,2,Участок для голосования №28,"общежитие №17 КУП ""ЖРЭУ г.Бреста""","г.Брест, ул.Советской Конституции, 21",52.1059,23.7538
