id,name,url,location,latitude,longitude,description,postal_code,phone,email,type
1,Белорусское ОО ветеранов,http://www.mintrud.gov.by/ru/BOOV,"г.Минск, пр. Победителей, 23, к.2",53.91173,27.541024,,,,,0
2,Социал-демократическая партия Народного Согласия,,"г.Минск, ул.К. Маркса, д. 10",53.8964,27.5554,,,,,0
3,Республиканская партия труда и справедливости,https://rpts.by/,"г.Минск, пр.Победителей, 23/3",53.9114,27.5412,,,,,0
4,РОО «Белая Русь»,https://belayarus.by/,"г.Минск, ул.Фрунзе, 5 - 300",53.9061,27.5746,,,,,0
5,РОО «Белорусское Общество Красного Креста»,https://redcross.by/,"г. Минск, ул. Карла Маркса, 35",53.915487,27.565997,,,,,0
7,Коммунистическая партия Беларуси,http://www.comparty.by/,"г.Минск, ул.Чичерина 21, к.412",53.915476,27.56597,,,,,0
8,ОО «Белорусский союз женщин»,http://oobsg.by/,"г.Минск, ул.Интернациональная, 11а",53.9021,27.5537,,,,,0
11,ОО «Белорусский республиканский союз молодежи»,http://www.brsm.by/,"г. Минск, 220030, ул. К. Маркса, 40",52.439,31.0044,,220030,,,0
12,ОО «Белорусский союз ветеранов войны в Афганистане»,,"г. Минск, ул. Киселева, 11",53.911064,27.571368,,,,,0
14,ОО «Белорусский союз офицеров»,https://www.mil.by/ru/bso/,"г. Минск, ул. Красноармейская, 3, ЦДО, комната 15",53.902263,27.564728,,,,,0
15,ОО «Белорусский фонд мира»,https://fondmira.by/,"г. Минск, ул. Сторожевская, 5",53.909298,27.55676,,,,,0
17,Белорусский профессиональный союз работников строительства и промышленности строительных материалов,https://stroy.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
18,Белорусский профессиональный союз работников местной промышленности и коммунально-бытовых предприятий,https://jkh.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
20,"Белорусский профессиональный союз работников энергетики, газовой и топливной промышленности",https://energo.1prof.by/,"г. Минск, ул.Старовиленская, 100а",53.919398,27.563319,,,,,0
21,Белорусский профессиональный союз работников государственных и других учреждений,https://profgos.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
22,"Белорусский профессиональный союз работников культуры, информации, спорта и туризма",https://kult.1prof.by/,"г.Минск, пр.Победителей 21",53.911,27.5452,,,,,0
23,Белорусский профессиональный союз работников агропромышленного комплекса,https://apk.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
24,Белорусский профессиональный союз работников леса и природопользования,https://les.1prof.by/,"г.Минск, пр.Победителей 21",53.911,27.5452,,,,,0
25,Белорусский профессиональный союз работников здравоохранения,https://profmed.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
26,Белорусский профессиональный союз работников образования и науки,https://estu.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
27,Белорусский профессиональный союз работников транспорта и коммуникаций,https://belproftrans.1prof.by/,"г.Минск, ул.Первомайская, 18",53.9004,27.5749,,,,,0
28,Белорусский профессиональный союз работников отраслей промышленности «Белпрофмаш»,https://belprofmash.1prof.by/,"г.Минск, пр.Победителей 21",53.911,27.5452,,,,,0
29,"Белорусский профессиональный союз работников торговли, потребительской кооперации и предпринимательства",https://proftorg.1prof.by/,"г. Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
30,"Белорусский профессиональный союз работников химической, горной и нефтяной отраслей промышленности",https://himprof.1prof.by/,"г. Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
31,РОО «Белорусский детский фонд»,http://www.bcf.by/,"г. Минск, пр. Независимости, 31",53.908257,27.571994,,,,,0
32,Белорусский профессиональный союз банковских и финансовых работников,https://bank.1prof.by/,"г. Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
33,Белорусская аграрная партия,,"г.Минск,ул.Фабрициуса,7А",53.889852,27.538082,,,,,0
34,ОО «Белорусская ассоциация врачей»,https://www.beldoc.by/,"г. Минск, пр-т. Независимости, 64",53.919462,27.594938,,,,,0
35,Палата представителей Национального собрания Республики Беларусь,http://www.house.gov.by/,"г. Минск, ул. Советская, 11",53.89618,27.546257,,,,,0
36,ОО ветеранов КГБ «Честь»,,"г. Минск,ул. Комсомольская, 30",53.89952,27.55466,,,,,0
40,ГУО «Гимназия № 4 г.Бреста»,https://gymn4brest.schools.by/,"г. Брест, ул. Московская, 338/4",52.10424,23.76538,,,,,0
41,ГУО «Гимназия № 5 г.Бреста»,https://gymn5brest.schools.by/,"г. Брест, ул. Дубровская, 14",52.12796,23.65273,,,,,0
47,ГУО «Средняя школа № 5 г.Бреста»,https://5brest.schools.by/,"г. Брест, ул. Писателя Смирнова, 63",52.10549,23.64652,,,,,0
48,ГУО «Средняя школа № 6 г.Бреста»,https://6brest.schools.by/,"г. Брест, ул. Панфиловцев, 22",52.10038,23.71519,,,,,0
55,ГУО «Средняя школа № 15 г.Бреста»,https://15brest.schools.by/,"г. Брест, пр. Машерова, 55",52.08739,23.70631,,,,,0
56,ГУО «Средняя школа № 17 г.Бреста»,https://17brest.schools.by/,"г. Брест, ул. Северная, 20",52.1095,23.67888,,,,,0
57,ГУО «Средняя школа № 18 г.Бреста»,https://18brest.schools.by/,"г. Брест, ул. Ленина, 70",52.08855,23.68724,,,,,0
65,ГУО «Средняя школа № 27 г.Бреста»,https://27brest.schools.by/,"г. Брест, ул. Адамковская, 58/1",52.1049,23.65096,,,,,0
70,ГУО «Средняя школа № 32 г.Бреста»,https://32brest.schools.by/,"г. Брест, ул. Строительная, 21",52.11352,23.73114,,,,,0
71,ГУО «Средняя школа № 33 г.Бреста»,https://33brest.schools.by/,"г. Брест, ул. Белорусская, 64",52.11969,23.65672,,,,,0
84,Ясли-сад № 36 г.Бреста,https://ds36brest.schools.by/,"г. Брест, ул. Дубровская, 15",52.12754,23.65645,,,,,0
90,Ясли-сад № 79 г.Бреста,https://ds79brest.schools.by/,"г. Брест, ул. Березовская, 7",52.11309,23.72904,,,,,0
92,Брестский государственный колледж связи,http://bgks.by/,"г. Брест, ул. Кирова, 82",52.09078,23.70461,,,,,0
94,Брестский государственный профессионально-технический колледж приборостроения,http://ptkp.brest.by/,"г. Брест, ул. Я.Купалы, 6/1",52.10361,23.73429,,,,,0
95,Брестский государственный профессиональный лицей легкой промышленности,https://bgpllp.brest.by/,"г. Брест, ул. Я.Купалы, 52",52.10604,23.73323,,,,,0
96,Брестский государственный профессиональный лицей строителей,http://ptu65.brest.by/,"г. Брест, ул. Пригородная, 27",52.0989,23.65236,,,,,0
97,Брестский государственный технический университет,http://www.bstu.by/,"г. Брест, ул. Московская, 267",52.10261,23.77942,,,,,0
98,УО «Брестский государственный торгово-технологический колледж»,http://ttk.brest.by/,"г. Брест, ул. ГОБК, 78",52.09128,23.65273,,,,,0
101,Брестское государственное областное училище олимпийского резерва,http://bruor.by/,"г. Брест, ул. Пригородная, 25",52.09862,23.65425,,,,,0
102,Брестский областной институт развития образования,https://boiro.by/,"г. Брест, ул. Я.Купалы, 20/1",52.10612,23.73314,,,,,0
103,Брестская областная клиническая больница,https://www.hospital.brest.by/,"г. Брест, ул. Медицинская, 7",52.10663,23.81566,,,,,0
104,Брестская центральная городская больница,http://hospital.cis.by/,"г. Брест, ул. Лактионова, 11",52.09769,23.78513,,,,,0
