Код суда,название,адрес,телефоны,месторасположение,ссылка,комментарий
01-000-03-01,Брестский областной суд,"г.Брест, пр.Машерова, 8",375162935755,"52.086457, 23.680605",http://court.gov.by/ru/brestskij/oblastnoj/sud/,
01-000-03-02,Экономический суд Брестской области,"г.Брест, ул.Веры Хоружей, 8",375162205213,"52.086983, 23.681561",http://court.gov.by/ru/ekonomicheskij_sud_brestskoj_oblasti/,
01-001-03-01,суд Брестского района,"г.Брест, ул.Красногвардейская, 4/1",375162574912,"52.105690, 23.678119",http://brest.brest-region.gov.by/index.php?option=com_content&view=article&id=50564&Itemid=3516&lang=ru,"Берасьце, раённы"
01-002-03-01,суд Ленинского района г. Бреста,"г.Брест, пр.Машерова, 8","375162935800 375162935801","52.086378, 23.680651",https://city-brest.gov.by/%d1%81%d1%83%d0%b4-%d0%bb%d0%b5%d0%bd%d0%b8%d0%bd%d1%81%d0%ba%d0%be%d0%b3%d0%be-%d1%80%d0%b0%d0%b9%d0%be%d0%bd%d0%b0-%d0%b3-%d0%b1%d1%80%d0%b5%d1%81%d1%82%d0%b0/,"Берасьце, Ленінскі"
01-002-03-02,суд Московского района г. Бреста,"г.Брест, пр.Машерова, 8","375162935786 375162935771","52.088785, 23.705750",https://city-brest.gov.by/%d1%81%d1%83%d0%b4-%d0%bc%d0%be%d1%81%d0%ba%d0%be%d0%b2%d1%81%d0%ba%d0%be%d0%b3%d0%be-%d1%80%d0%b0%d0%b9%d0%be%d0%bd%d0%b0-%d0%b3-%d0%b1%d1%80%d0%b5%d1%81%d1%82%d0%b0/,"Берасьце, Маскоўскі"
01-003-03-01,суд Барановичского района и г. Барановичи,"Брестская обл., г.Барановичи, ул.Пролетарская, 30",375163462529,"53.145133, 26.011186",http://baranovichi.brest-region.gov.by/index.php?option=com_content&view=article&id=20377&Itemid=2675&lang=ru,Баранавічы
01-005-03-01,суд Берёзовского района,"г.Береза, ул.Красноармейская, 28",375164345765,"52.534316, 24.979748",http://www.court.gov.by/ru/court_apply/rai/brest/efacd86b68942a94.html,Бяроза
01-006-03-01,суд Ганцевичского района,"Брестская обл., г.Ганцевичи, ул.Коммунистическая, 21",375164611478,"52.761166, 26.424223",http://gantsevichi.brest-region.gov.by/index.php?option=com_content&view=article&id=20386&Itemid=2677&lang=ru,Ганцавічы
01-007-03-01,суд Дрогичинского района,"Брестская обл., г.Дрогичин, ул.Карла Маркса, 5«А»",375164431521,"52.190339, 25.163872",http://drogichin.brest-region.gov.by/index.php?option=com_content&view=article&id=20387&Itemid=2678&lang=ru,Драгічын
01-008-03-01,суд Жабинковского района,"Брестская обл., г.Жабинка, ул.Мира,11",375164132478,"52.199772, 24.029503",http://zhabinka.brest-region.gov.by/index.php?option=com_content&view=article&id=20378&Itemid=2679&lang=ru,"Жабінка, раённы"
