Код суда,"""ВЯСНА""",адрес,телефоны,месторасположение,ссылка
01-002-03-01,"Берасьце, Ленінскі","224030 Брестская область, г. Брест, проспект Машерова, д.8",8 (0162) 93-58-00; 8 (0162) 93-58-01,"52.086378, 23.680651",https://city-brest.gov.by/%d1%81%d1%83%d0%b4-%d0%bb%d0%b5%d0%bd%d0%b8%d0%bd%d1%81%d0%ba%d0%be%d0%b3%d0%be-%d1%80%d0%b0%d0%b9%d0%be%d0%bd%d0%b0-%d0%b3-%d0%b1%d1%80%d0%b5%d1%81%d1%82%d0%b0/
01-002-03-02,"Берасьце, Маскоўскі","224030, г. Брест, пр-т. Машерова, 8",375 162 93 57 86; 375 162 93 57 71,"52.088785, 23.705750",https://city-brest.gov.by/%d1%81%d1%83%d0%b4-%d0%bc%d0%be%d1%81%d0%ba%d0%be%d0%b2%d1%81%d0%ba%d0%be%d0%b3%d0%be-%d1%80%d0%b0%d0%b9%d0%be%d0%bd%d0%b0-%d0%b3-%d0%b1%d1%80%d0%b5%d1%81%d1%82%d0%b0/
01-003-03-01,Баранавічы,"225411, г. Барановичи, ул. Пролетарская,30",375 (163) 46 25 29,"53.145133, 26.011186",http://baranovichi.brest-region.gov.by/index.php?option=com_content&view=article&id=20377&Itemid=2675&lang=ru
01-006-03-01,Ганцавічы,"индекс 225462, Брестская область, город  Ганцевичи, улица Коммунистическая, д.21",8 (1646) 1 14 78,"52.761166, 26.424223",http://gantsevichi.brest-region.gov.by/index.php?option=com_content&view=article&id=20386&Itemid=2677&lang=ru
01-007-03-01,Драгічын,"индекс 225612, Брестская область, город Дрогичин, улица Карла Маркса, д. 5 «А»",8 (1644) 3 15 21,"52.190339, 25.163872",http://drogichin.brest-region.gov.by/index.php?option=com_content&view=article&id=20387&Itemid=2678&lang=ru
01-008-03-01,"Жабінка, раённы","225101, г.Жабинка, ул.Мира,11","(801641) 3-28-79, (801641)3-24-78","52.199772, 24.029503",http://zhabinka.brest-region.gov.by/index.php?option=com_content&view=article&id=20378&Itemid=2679&lang=ru
01-009-03-01,,"ул. Ленина, д. 5, 225793 г. Иваново, Брестская область",375 (1652) 2-55-65,"52.145513, 25.533363",http://ivanovo.brest-region.gov.by/index.php?option=com_content&view=article&id=20379&Itemid=2680&lang=ru
01-010-03-01,Івацэвічы,"225295, Брестская область, город  Ивацевичи, улица 60 лет Октября, дом 10",8 (01645) 9-25-61,"52.717090, 25.341007",http://ivacevichi.brest-region.gov.by/index.php?id=20380&Itemid=&lang=ru&option=com_content&view=article
01-011-03-01,"Камянец, раённы","225051, Брестская область, г. Каменец, ул. Панфиловцев, 1",98(01631) 71675,"52.396550, 23.819638",http://kamenec.brest-region.gov.by/index.php?option=com_content&view=article&id=20381&Itemid=2682&lang=ru
01-012-03-01,Кобрын,"225306, Брестская область, город Кобрин, улица Интернациональная, д.28",8 (01642) 2 32 06,"52.208454, 24.356678",http://kobrin.brest-region.gov.by/index.php?option=com_content&view=article&id=20388&Itemid=2683&lang=ru
01-021-03-01,Лунінец,"225644, ул. Фрунзе, д.12-3",8 (01647) 3 38 39; 8 (01647) 6 52 34,"52.245100, 26.804533",http://luninets.brest-region.gov.by/index.php?option=com_content&view=article&id=20383%3A2012-06-27-12-46-21&catid=685%3A2012-06-27-12-17-28&Itemid=2684&lang=ru
01-013-03-01,Ляхавічы,"225370, Брестская область, город Ляховичи, ул. Первомайская, 6",8 (1633) 6 01-80,"53.039146, 26.265859",http://liahovichi.brest-region.gov.by/index.php?option=com_content&view=article&id=20382&Itemid=2688&lang=ru
01-014-03-01,,"Брестская область, город Малорита, улица Советская, д.112",8 (1651) 2 04 96,"51.784866, 24.059902",http://malorita.brest-region.gov.by/index.php?option=com_content&view=article&id=20390&Itemid=2686&lang=ru
01-015-03-01,Пінск,"г.Пинск ул. Пушкина, д.14",8( 0165) 65-35-10,"52.121338, 26.115346",http://pinsk.brest-region.gov.by/index.php?option=com_content&view=article&id=20954&Itemid=2727&lang=ru
01-017-03-01,Пружаны,"Брестская область, город Пружаны, улица Свободы, д. 25",8 (01632) 7 12 61,"52.559362, 24.461035",http://pruzhany.brest-region.gov.by/index.php?option=com_content&view=article&id=20391&Itemid=2687&lang=ru
01-018-03-01,"Столін, раённы","г. Столин, ул. Советская, 98",8 (01655) 2-42-30,"51.893412, 26.859816",http://stolin.brest-region.gov.by/index.php?option=com_content&view=article&id=20392&Itemid=2689&lang=ru
02-000-03-01,,"г.Витебск, ул.Ленина 32, ",43-62-59,"55.193283, 30.205833",https://vitebsk.gov.by/ru/vitpblsud/
02-001-03-01,"Віцебск, раённы","г. Витебск, ул. Правды, 34",61-94-65,"55.188180, 30.218006",http://vitebsk.vitebsk-region.gov.by/ru/sud-vitebskogo-rayona
02-002-03-01,"Віцебск, Чыгуначны","г.Витебск, ул.Ленина 32, ",43-62-59,"55.193283, 30.205833",https://vitebsk.gov.by/ru/vitpblsud/
02-002-03-03,"Віцебск, Першамайскі","г. Витебск, ул. Буденного, 5-3",375-21-266-40-27,"55.187337, 30.188676",https://gorodvitebsk.by/firms/sud_geleznodorognogo#show_fones_3451
02-002-03-04,,"210029 г. Витебск, ул. Правды, д. 34",8(0212) 65-48-54,"55.188180, 30.218006",http://www.court.gov.by/special/ru/court_apply/rai/vitebsk/871893eef4174feb.html
02-003-03-01,Наваполацак,"ул.Дружбы, 21, Витебская область, г.Новополоцк",58-80-64,"55.520553, 28.666956",http://www.novopolotsk.by/content/view/2725/248/
02-004-03-01,,"г.п. Бешенковичи, ул.Чуклая, д.7",8 (02131) 4-15-46,"55.045439, 29.456513",https://beshenkovichi.vitebsk-region.gov.by/ru/sud/
02-005-03-01,"Браслаў, Браслаўскі","г.Браслав ул.Красноармейская, д.8",8(02153) 6-83-30; 8(02153) 6-74-57,"55.640248, 27.035607",https://braslav.vitebsk-region.gov.by/ru/sud/
02-006-03-01,,"г. Верхнедвинск, ул. Советская, 189",8 (02151) 6 17 00,"55.763731, 27.946921",https://verkhnedvinsk.vitebsk-region.gov.by/ru/sud/
02-007-03-01,"Глыбокае, раённы","ул. Ясная, д. 29",8 (02156) 5 72 88,"55.134780, 27.672450",http://glubokoe.vitebsk-region.gov.by/ru/sudeb_vlast/
02-008-03-01,"Гарадок, Віцебская вбл.","г. Городок, ул. К.Маркса, 76",(8-02139) 5-25-46,"55.463197, 29.983204",https://gorodok.vitebsk-region.gov.by/ru/sud-ru/
02-009-03-01,,"г.Докшицы, ул.Ленинская д.31",8 (02157) 2-10-45,"54.892644, 27.766144",https://dokshitsy.vitebsk-region.gov.by/ru/sud/
02-010-03-01,Дуброўна,"Витебская область, г. Дубровно, ул. Комсомольская, д. 4",8(02137) 5-31-83,"54.572691, 30.684474",http://court.gov.by/ru/court_apply/rai/vitebsk/ea5dedac0bcbe6e2.html?version=print
02-011-03-01,Лепель,"г. Лепель, ул. Советская, д. 50",8 (02132) факс 3-48-38,"54.885233, 28.697607",http://lepel.vitebsk-region.gov.by/ru/sud/
02-012-03-01,,"Витебская область, г.п. Лиозно, ул. Ленина, д. 100-а",8(02138) 4-15-46,"55.029673, 30.797078",http://court.gov.by/ru/court_apply/rai/vitebsk/f4bd9a69f50a0122.html
02-014-03-01,"Ворша, раённы","Витебская область, г. Орша, ул. Советская, д. 5",8(0216) 51-84-95,"54.506705, 30.416722",http://court.gov.by/ru/court_apply/rai/vitebsk/c719f79277c06ff6.html
02-016-03-01,"Паставы, раённы","г Поставы, ул. Советская, д. 76 А",т.8 (02155) факс 4-15-46,"55.107659, 26.839118",http://www.postavy.vitebsk-region.gov.by/ru/sud/
02-017-03-01,,"пгт Россоны, ул. Советская, 2",8(02159) 5 65 29,"55.903060, 28.815277",http://rossony.vitebsk-region.gov.by/ru/sud/
02-018-03-01,,"г. Сенно, ул. Бородулина, д.2",802135 5 90 01,"54.815586, 29.707412",http://senno.vitebsk-region.gov.by/ru/rajon-sud/
02-019-03-01,Талачын,"г. Толочин, ул. Ленина, 1",802136) 5-15-33,"54.404960, 29.711302",http://tolochin.vitebsk-region.gov.by/ru/sud_12/
02-020-03-01,,"г.п. Ушачи, ул. Советская, 42",8 (02158) 5-89-38,"54.406359, 29.686149",http://ushachi.vitebsk-region.gov.by/ru/sud/
02-021-03-01,,"г. Чашники, ул.Октябрьская, д.14",8 (02133) 3 34 45,"54.857580, 29.162018",http://chashniki.vitebsk-region.gov.by/ru/sud_obl/
02-022-03-01,"Шаркаўшчына, раённы","г.п. Шарковщина, ул.17 сентября, д. 8",8 (02154) 6-03-78,"55.361313, 27.468820",http://sharkovshchina.vitebsk-region.gov.by/ru/sud-ru/
02-023-03-01,,"г.п. Шумилино, ул. Короткина, д. 13",8 (02130) 5-48-33,"55.297620, 29.619162",http://shumilino.vitebsk-region.gov.by/ru/sud_12-ru/
03-001-03-01,"Гомель, раённы","г. Гомель, ул.Шевченко, 7а",8 (0232) 33 68 04,"52.433451, 30.992165",http://gomelisp.gov.by/judicial-branch/
03-002-03-01,"Гомель, Чыгуначны","г. Гомель, ул. Пушкина, 10",375 (232) 34-37-34,"52.432688, 31.011730",http://www.court.gov.by/ru/court_apply/rai/gomel/e3033a781cf6a17e.html
03-002-03-02,"Гомель, Навабелецкі","г. Гомель, ул. Степана Разина, д.8",375 (232) 53-38-13,"52.388164, 31.030783",http://www.court.gov.by/ru/court_apply/rai/gomel/d98b56b430ee4f07.html
03-002-03-03,"Гомель, Савецкі","г. Гомель, пр-т Речицкий, 45",375 (232) 29-44-67,"52.409594, 30.935319",http://www.court.gov.by/ru/court_apply/rai/gomel/be3d2bbda17f0fad.html
03-002-03-04,"Гомель, Цэнтральны","г. Гомель, ул. Пушкина, 10",375 (232) 34-43-10,"52.432688, 31.011730",http://www.court.gov.by/ru/court_apply/rai/gomel/ee392ac539d627b8.html
03-003-03-01,,"г.п. Брагин, ул. Советская, 92",8(02344) 3-93-34,"51.790510, 30.271168",http://bragin.gomel-region.by/ru/court/
03-004-03-01,"Буда-Кашалёва, раённы","г. Буда-Кошелёво ул. Комсомольская, 17",7 74 81,"52.712480, 30.565213",https://buda-koshelevo.gomel-region.by/ru/court/
03-005-03-01,,"ул. Первомайская, 40, Ветка",8 (02330) 4-27-59,"52.551910, 31.172511",http://www.vetka.gov.by/ru/sud-ru/
03-006-03-01,,"г. Добруш, ул. Пушкина, д.13",375 (2333) 5-58-82,"52.421667, 31.310258",http://court.gov.by/ru/court_apply/rai/gomel/cebb93742e335edf.html
03-007-03-01,Ельск,"г. Ельск, улица Дзержинского, д. 7",8 (02354) 2 03 53,"51.805560, 29.154284",http://yelsk.gomel-region.by/ru/court/
03-008-03-01,"Жыткавічы, раённы","г. Житковичи, ул. Энгельса, 3",(8-02353) 5-00-02,"52.216588, 27.855005",http://zhitkovichi.gov.by/ru/court-ru/
03-009-03-01,"Жлобін, раённы","г. Жлобин, ул. Урицкого, 59",375 (2334) 3-64-43,"52.891039, 30.030491",http://www.court.gov.by/ru/court_apply/rai/gomel/db3fd9474c9720d6.html
03-010-03-01,"Калінкавічы, Калінкавіцкі раённы","ул. Карла Макса, 22, г. Калинковичи",,"52.132861, 29.331171",http://www.kalinkovichi.gomel-region.by/ru/court/
03-011-03-01,"Карма, раённы","г.п. Корма, ул. Ильющенко, 30",8-02337 2-15-43,"53.132190, 30.798425",https://www.korma.gov.by/ru/sudebnaja/
03-012-03-01,,"Лельчицы, ул. Ленина, 3",8 (02356) 2-12-58,"51.802859, 28.328669",https://www.lelchitsy.gomel-region.by/ru/court/
03-013-03-01,Лоеў,"г.п. Лоев, ул. Ленина, 1",5-28-39,"51.939091, 30.806420",http://loev.gomel-region.by/ru/court/
03-014-03-01,Мазыр,"г. Мозырь, улица Пролетарская, д. 86",25 19 55,"52.050570, 29.242534",http://mozyrisp.gov.by/ru/sud/
03-015-03-01,"Нароўля, раённы","г. Наровля, ул. Ленина, 40",4 40 15,"51.793529, 29.503584",http://narovlya.gov.by/ru/court/
03-016-03-01,"Акцябрск, раённы","г.п. Октябрьский, улица Маяковского, дом 5",(8 2357 (5 12 48),"56.513869, 57.191431",http://oktiabrskiy.gomel-region.by/ru/court/
03-017-03-01,"Петрыкаў, раённы","г. Петриков, ул. Карла Либкнехта, 1",,"52.126669, 28.498702",http://petrikov.gomel-region.by/ru/court/
03-018-03-01,"Рэчыца, раённы","г. Речица, ул. Ленина, д. 49,",8(02340) 6 86 70,"52.369450, 30.388344",http://rechitsa.by/sud_grafik_3.html
03-019-03-01,Рагачоў,"г.Рогачев, ул.Володарского, 57",8-(02339) 3-74-92,"53.080958, 30.048736",https://www.rogachev.gomel-region.by/ru/court-ru/
03-020-03-01,"Сьветлагорск, раённы","г.Светлогорск, ул.Ленина 82",07-02-47,"52.636734, 29.736886",http://svetlogorsk.by/ru/pages/gov/sud/
03-021-03-01,"Хойнікі, раённы","г. Хойники, ул. Карася, 19",8 (02346) 2-16-66,"51.890810, 29.964977",http://hoiniki.gov.by/ru/court/
03-022-03-01,,"г.Чечерск, ул. Урицкого, 15",3 15 43,"52.915568, 30.913050",http://chechersk.gomel-region.by/ru/court/
04-000-03-01,,"г.Гродно, ул.Карбышева, 20",375 (152) 72-23-12,"53.681535, 23.837551",http://www.court.gov.by/ru/Grodnenskij/oblastnoj/sud/
04-000-03-02,,"г.Гродно, ул.Советских пограничников, 102",375 (152) 79-06-01,"53.671150, 23.806622",http://www.court.gov.by/ru/Ekonomicheskij/sud/Grodnenskoj/oblasti/
04-001-03-01,,"г.Гродно, ул.Гаспадарчая, 4",8(0152) 68-16-45,"53.701801, 23.826537",https://grodnorik.gov.by/ru/the_Court_of_the_Grodno_region/
04-002-03-01,"Гародня, Ленінскі","г. Гродно, ул. Доватора, 2/1",8 (0152) 41-41-87,"53.692424, 23.834380",http://court.gov.by/ru/court_apply/rai/grodno/c4c051ad283d6aa4.html
04-002-03-02,"Гародня, Кастрычніцкі","г. Гродно, ул. Дубко, 9",8 (0152) 41-45-20,"53.701018, 23.828621",http://court.gov.by/ru/court_apply/rai/grodno/eebd3f49d25d7212.html
04-003-03-01,,"ул. Ленина, 23 231778, г.п. Большая Берестовица",(01511) 2-22-66,"53.682244, 23.840829",http://berestovitsa.grodno-region.by/ru/court-ru/
04-004-03-01,Ваўкавыск,"г. Волковыск, ул. Дзержинского, 11",8 (01512) 4-13-78,"53.167223, 24.458987",https://volkovysk.grodno-region.by/ru/sud-ru/
04-005-03-01,,"г.п. Вороново, ул. Советская, д. 66",8 (01594) 2-14-60,"48.898287, 38.574997",http://court.gov.by/ru/court_apply/rai/grodno/e34cf725acefcf5a.html
04-006-03-01,,"г. Дятлово, ул. Новогрудская, д. 16 Б",8 (01563) 68-9-31,"53.469165, 25.417705",http://www.court.gov.by/ru/court_apply/rai/grodno/da876ed71946b163.html
04-007-03-01,,"г.п.Зельва, ул. Октябрьская, д.9А",8(01564) 7-44-71,"53.146591, 24.815789",http://court.gov.by/ru/court_apply/rai/grodno/ae065b9e7da88baa.html
04-008-03-01,,"г. Ивье, ул. 1 Мая, д. 15",8 (01595) 2-13-38,"53.932961, 25.768830",http://www.court.gov.by/ru/grodnenskij/oblastnoj/sud/rajonnie/gorodskie/sudi/gomeljskoj/oblasti/sudi/grodnenskoj/oblasti/eb6af685a2efb0cf.html
05-000-03-01,,"г.Минск, ул.Свердлова, 3",375 (17) 354-10-39,"53.895710, 27.551411",http://www.court.gov.by/ru/minskij/oblastnoj/sud/
05-000-03-02,,"г. Минск, ул. Жилуновича, 15",(8-017) 295-52-19,"53.876074, 27.631576",http://belpravo.by/content/hozyajstvennyj-sud-minskoj-oblasti
05-001-03-01,"Менск, раённы","г. Минск, ул. Ольшевского, 8",375 (17) 270-50-24,"53.912351, 27.507151",https://mrik.gov.by/sud-minskogo-rajona
05-002-03-01,,"г. Минск, ул.Дунина-Марцинкевича, 1",375 (17) 308-90-00,"53.907100, 27.482402",http://www.court.gov.by/ru/minskij/gorodskoj/sud/
05-002-03-02,,"г.Минск, ул.Академическая, 15/1",375 (17) 284-05-00,"53.917824, 27.601105",http://www.court.gov.by/ru/ekonomicheskij/sud/goroda/minska/
05-003-03-01,Жодзіна,"г. Жодино, ул. 40 лет Октября, 7",375 (1775) 4-87-33,"54.096097, 28.323719",https://www.zhodino.minsk-region.by/sud
05-004-03-01,,"г. Березино, ул. Пионерская, 5",8 (01715) 5-58-40,"53.842805, 28.997438",http://court.gov.by/ru/court_apply/rai/minsk_region/c8d39429425c0b30.html
05-005-03-01,"Барысаў, раённы","Ulitsa Karla Marksa 19, Barysaw",375 177 73-68-68,"54.223864, 28.517692",
05-006-03-01,Вілейка,"г. Вилейка, ул. Партизанская, 40",375 (1771) 5-51-61,"54.488405, 26.913220",https://www.vileyka.minsk-region.by/sud-vilejskogo-rajona
05-007-03-01,"Валожын, раённы","г. Воложин, пл. Свободы, 2",375 (1772) 5-55-72,"54.089222, 26.526532",http://www.volozhin.gov.by/ru/sud-volozhinskogo-rajona
05-008-03-01,Дзяржынск,"Держинск, прДержинского 1",375 (1716) 6-56-43,"53.685449, 27.131960",http://dzerzhinsk.gov.by/sud-dzerzhinskogo-rajona
05-009-03-01,Клецк,"Клецк Панкратовская, д. 6",8 (01793) 5-00-74,"53.067968, 26.634895",http://kletsk.gov.by/ru/sud
05-010-03-01,,"г. Копыль, пл. Ленина, 6",375 (1719) 5-51-60,"53.151630, 27.090799",http://www.kopyl.gov.by/ru/sud-kopylskogo-rajona.html
05-012-03-01,"Лагойск, раённы","пер.Банный, д.3, г.Логойск",8(01774)78306,"54.199996, 27.846597",http://www.logoysk.gov.by/sud-logojskogo-rajona.html
05-013-03-01,,"г. Любань, ул. Первомайская, 37",(801794) 6-71-72,"52.791296, 27.998215",http://www.lyuban.gov.by/ru/sud/
05-014-03-01,"Маладзечна, Маладзечанскі раён","г. Молодечно, ул. Партизанская, д. 5",8(0176)723838,"54.309338, 26.836585",https://molodechno.minsk-region.by/sud
05-015-03-01,,"г. Мядель, Минской области, ул. Крупской,6",8(01797) 2-72-64,"54.869976, 26.929831",http://myadel.minsk-region.by/ru/sud-ru/
05-017-03-01,Мар'іна Горка,"г. Марьина Горка, ул. Ленинская, 47",375 (1713) 3-51-66,"53.511151, 28.148090",http://www.pukhovichi.minsk-region.by/ru/sud-pukhovichskogo-rajona.html
05-018-03-01,Слуцк,"г. Слуцк, ул. Ленина, 189",375 (1795) 7-50-92,"53.027877, 27.551635",http://www.slutsk.minsk-region.by/ru/sud-slutskogo-rajona
05-019-03-01,Смалявічы,"г.Смолевичи, ул. Советская, 125",375 (1776) 5-52-91,"54.030333, 28.089681",http://smolevichi.minsk-region.by/ru/sud-smolevicheskogo-rajona.html
05-020-03-01,"Салігорск, раённы","г. Солигорск, ул. Богомолова, 1",,"52.786373, 27.522674",https://soligorsk.by/ru/sud/
05-021-03-01,"Старыя Дарогі, раённы","г. Старые Дороги, ул. 8 Марта, 32",8 (01792) 58500,"53.039991, 28.259005",http://staryedorogi.minsk-region.by/ru/sud-ru/
05-022-03-01,,"г. Столбцы, ул. Тенистая, д. 1а",5-13-66,"53.484047, 26.736450",http://stolbtsy.gov.by/sud-stolbtsovskogo-rajona
05-023-03-01,"Узда, раённы","Узда ул. Интернациональная, д.61",(801718) 54-2-92,"53.460626, 27.214659",https://uzda.gov.by/ru/sud
05-024-03-01,"Чэрвень, раённы","г.Червень, пл. Свободы, 1",375 (1714) 2-60-51,"53.714043, 28.418914",http://www.cherven.minsk-region.by/ru/sud-chervenskogo-rajona.html
06-000-03-01,,"г.Могилев, ул.Первомайская, 85",375 (222) 62-90-30,"53.916159, 30.343051",http://mogilev-region.gov.by/external_redirect?extUrl=http%3A//court.gov.by/ru/mogilevskij/oblastnoj/sud/
06-000-03-02,,"г.Могилев, ул.Первомайская, 85",375 (222) 29-27-27,"53.916159, 30.343051",http://court.gov.by/ru/ekonomicheskij/sud/mogilevskoj/oblasti/
06-001-03-01,"Магілёў, раённы","г.Могилев, ул.Первомайская, 85",375 (222) 32-70-30,"53.916159, 30.343051",http://mogilev-region.gov.by/category/gosudarstvennye_organy_mogilevskoi_oblasti/sudebnaya_vlast
06-003-03-01,"Бабруйск, раённы","г. Бобруйск, ул. Октябрьская, 128",375 (225) 72-19-65,"53.145268, 29.221406",http://court.gov.by/ru/court_apply/rai/mogilev/f8481b2b985d3be3.html
06-004-03-01,"Бялынічы, раённы","г. Белыничи, ул. Ленинская, д.59",8(02232) 51-958,"53.995170, 29.707179",http://www.court.gov.by/upload/REGIONAL%20COURTS/MOGILEV/Belynichi2.pdf
06-005-03-01,"Быхаў, раённы","г. Быхов, ул. Ленина, д.31",8 (02231) 79-641,"53.518240, 30.244075",http://bykhov.gov.by/news/novosti-regiona/item/1668-sud
06-006-03-01,"Глуск, раённы","Глуск, ул. Первомайская, 15а",375 (2230) 79-810,"52.902208, 28.687303",http://court.gov.by/court_apply/rai/Mogilev/a192baa656b3f120.html
06-007-03-01,Горкі,"ул. Фёдора Сурганова, 14, Горки, Беларусь",375 22 335-88-82,"54.285562, 30.983532",
06-008-03-01,Дрыбін,"Дрибин, ул. Советская, 8",375 (2248) 2-41-56,"54.117038, 31.093225",http://mogilev-region.gov.by/category/gosudarstvennye_organy_mogilevskoi_oblasti/sudebnaya_vlast
06-009-03-01,,"Кировск, ул. Гагарина, 1а",375 (2237) 7-21-13,"53.263753, 29.467778",http://mogilev-region.gov.by/category/gosudarstvennye_organy_mogilevskoi_oblasti/sudebnaya_vlast
06-010-03-01,Клімавічы,"г. Климовичи, ул. Индустриальная, 17",375 (2244) 5-12-68,"53.597001, 31.960953",http://mogilev-region.gov.by/category/gosudarstvennye_organy_mogilevskoi_oblasti/sudebnaya_vlast
06-011-03-01,,"г. Кличев, ул. Пролетарская, 60",375 (2236) 5-16-31,"53.488264, 29.346649",http://mogilev-region.gov.by/category/gosudarstvennye_organy_mogilevskoi_oblasti/sudebnaya_vlast
06-012-03-01,,"г. Костюковичи, ул. Зиньковича, 1",375 (2245) 5-45-74,"53.346683, 32.050470",http://mogilev-region.gov.by/category/gosudarstvennye_organy_mogilevskoi_oblasti/sudebnaya_vlast
06-013-03-01,,"Краснополье, ул. Гагарина, 6",375 (2238) 2-17-31,"53.333731, 31.403494",http://mogilev-region.gov.by/category/gosudarstvennye_organy_mogilevskoi_oblasti/sudebnaya_vlast
06-014-03-01,,"Могилевская область, г. Кричев, ул. Минская, 2б",375 (2241) 5-14-15,"53.687785, 31.714877",http://court.gov.by/ru/court_apply/rai/mogilev/ae6829502f5f940f.html
06-015-03-01,,"Могилевская область, г. Круглое, ул. Советская, 97а",375 (2234) 7-20-55,"54.260768, 29.794082",http://court.gov.by/ru/court_apply/rai/mogilev/c363333d9b641046.html
06-016-03-01,,"Могилевская область, г. Мстиславль, ул. Ворошилова, 72",375 (2240) 2-13-49,"54.018194, 31.725657",http://court.gov.by/ru/court_apply/rai/mogilev/c119f83e18ccf3cb.html
06-017-03-01,Асіповічы,"Могилевская область, г. Осиповичи, ул. Ленинская, 45",375 (2235) 5-69-89; 375 (2235) 5-24-97,"53.305281, 28.637096",http://court.gov.by/ru/court_apply/rai/mogilev/d55f68aced76d1f9.html
