СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Брестский областной суд,1.,Березюк Сергей Александрович,5 лет,06.02.2020 № 41 ,судья,,,,
,2.,Василюк Андрей Анатольевич,5 лет,06.02.2020 № 41 ,судья,,,,
,3.,Ласкович Татьяна Георгиевна,бессрочно,22.08.2018  № 348,судья,,суд Московского района г. Бреста,"заместитель председателя суда, судья",
,5.,Сенько Руслана Альбертовна,5 лет,14.11.2017  № 406,судья ,,суд Московского района г. Бреста,судья,
,,Исаева Татьяна Васильевна,5 лет,15.06.2020 № 213,судья ,,суд Московского района г. Бреста,"заместитель председателя суда, судья",
,,Панасюк Татьяна Сергеевна,5 лет,15.06.2020 № 213,судья ,,,,
,,Кременевская Светлана Борисовна,бессрочно,26.06.2014  № 297,судья ,,,,
,,Сенько Николай Алексеевич,бессрочно,26.06.2014  № 297,судья ,,,,
,,Коляда Надежда Анатольевна,5 лет,25.05.2017 № 185,судья,,суд Барановичского района и г. Барановичи,судья,
,,Курисюк Андрей Леонидович,бессрочно,09.03.2017 № 77,судья и заместитель председателя суда ,,,,
,,Хотько Елена Петровна,бессрочно,31.07.2017 № 268,судья и заместитель председателя суда ,,,,
,,Гущин Антон Иванович,5 лет,03.10.2019  № 366,судья и председатель суда,,,,
,,,,,,,,,
Экономический суд Брестской области,,Миселюк Валентин Михайлович,5 лет,06.02.2020 № 41 ,судья,,,,
,,Демьянюк Елена Александровна,5 лет,14.11.2017  № 406,судья,,,,
,,Пул Оксана Леонидовна,5 лет,14.11.2017  № 406,судья,,,,
,,Никитин Константин Вадимович,бессрочно,27.02.2018  № 88,судья и заместитель председателя суда,,,,
,,Гречаник Елена Николаевна,5 лет,04.02.2019 № 38,судья,,,,
,,Кулак Сергей Мефодьевич,бессрочно,"04.08.2005 № 345

",судья и председатель суда,,,,
,,,,,,,,,
суд Пружанского района,,Житко Игорь Анатольевич,5 лет,06.02.2020 № 41 ,судья,,,,
,,Мозоль Вадим Иванович,5 лет,03.10.2019 № 366,судья и председатель суда,,,,
,,,,,,,,,
суд Пинского района и г. Пинска,,Безручко Сергей Сергеевич,бессрочно,23.10. 2014 г. № 502,судья  ,,,,
,,Корец Иван Степанович,5 лет,15.10.2020  № 364,судья и председатель суда,,,,
,,Лубник Ольга Владимировна,5 лет,15.10.2020  № 364,судья,,,,
,,Малейчук Александр Петрович,5 лет,15.10.2020  № 364,судья и заместитель председателя суда ,,,,
,,Мельник Евгения Викторовна,5 лет,15.10.2020  № 364,судья,,,,
,,Серкова Татьяна Михайловна,5 лет,04.02.2019 № 38,судья,,,,
,,Свитин Дмитрий Владимирович,5 лет,14.11.2017  № 406,судья и заместитель председателя суда ,,,,
,,Бычило Андрей Владимирович,бессрочно,23.04.2014 № 183,судья  ,,,,
,,,,,,,,,
,,,,,,,,,
