СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Гомельский областной суд,,Шевцов Сергей Михайлович ,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Мартынов Евгений Владимирович,5 лет,06.02.2020 № 41,судья,от 06.02.2020 № 41,суд Добрушского района,судья,
,,Надточей Марина Владимировна,бессрочно,06.02.2020 № 41,судья и заместитель председателя суда,,,,
,,Камалыев Артем Сергеевич,бессрочно,14.11.2017  № 406,судья и первый заместитель председателя суда,,Гомельский областной суд,заместитель председателя суда,
,,Шитиков Сергей Алексеевич,5 лет,22.08.2018  № 348,судья,,,,
,,Аземша Татьяна Яковлевна,,26.06.2014  № 297,судья,,суд Железнодорожного района г. Гомеля,судья,
,,Андрейчик Жанна Петровна,5 лет,31.05.2019  № 209,судья,,,,
,,Морозюк Виталий Валерьевич,5 лет,31.05.2019  № 209,судья,,,,
,,Маратаев Николай Валентинович,бессрочно,21.04.2016  № 153,судья и заместитель председателя суда,,,,
,,Дичковская Елена Григорьевна ,бессрочно,21.04.2016  № 153,судья,,суд Советского района г. Гомеля,судья и заместитель председателя суда,
,,Доля Николай Иванович,5 лет,03.10.2019  № 366,судья,,,,
,,Егорова Снежана Алексеевна,5 лет,03.10.2019  № 366,судья,,,,
,,Сотников Анатолий Григорьевич,5 лет,03.10.2019  № 366,судья,,,,
,,Пискунова Александр Евгеньевич,5 лет,03.10.2019  № 366,судья,,,,
,,Бакунов Николай Николаевич,5 лет,15.11.2016 № 419,судья,,суд Железнодорожного района г. Гомеля,судья,
,,,,14.11.2017 № 406,,,,,
,,,,,,,,,
экономический суд Гомельской области,,Тишковский Павел Станиславович,5 лет,06.02.2020 № 41,судья,,,,
,,Демьянчик Светлана Михайловна,5 лет,22.08.2018  № 348,судья,,,,
,,Федорцов Дмитрий Александрович,бессрочно,27.02.2018 № 88,судья и заместитель председателя суда,,,,
