СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Гродненский областной суд,,Тимофеевич Валерий Иванович,бессрочно,14.11.2017  № 406,судья и первый заместитель председателя суда,,Гродненский областной суд,заместитель председателя суда,
,1.,Кулеш Виталий Эдвардович,бессрочно,31.08.2015  №377,судья,,,,
,2.,Лихач Андрей Андреевич,бессрочно,15.10.2020  № 364,судья и заместитель председателя суда,,,,
,,Пипко Сергей Николаевич,бессрочно,31.05.2019  № 209,судья,,,,
,,"Долгошей Светлана Ивановна",бессрочно,31.12.2013 № 587,судья,31.12.2013 № 587,суд Гродненского района,судья,
,,Корзун Александр Анатольевич,бессрочно,23.04.2014 № 183,судья и председатель суда,15.06.2020 № 213,,,
,,Ермак Игорь Анатольевич,5 лет,15.11.2016 № 419 ,судья,,,,
,,Корецкий Юрий Мирославович,5 лет,09.03.2017 № 77,судья,09.03.2017 № 77,суд Сморгонского района,судья,
,,Романовский Валерий Яцентович,бессрочно,31.07.2017 № 268,судья,,суд Щучинского района,судья и председатель суда и судья,
,,,,,,,,,
экономический суд Гродненской области,,Карих Наталья Валерьевна,5 лет,06.02.2020 № 41 ,судья,06.02.2020 № 41 ,суд Ленинского района г. Гродно ,судья,
,,Заблоцкая Кристина Ивановна,5 лет,22.08.2018 № 348,судья,,,,
,,Кот Денис Витальевич,5 лет,22.08.2018 № 348,судья,,,,
,,Король Эдуард Леонтьевич,5 лет,15.06.2020 № 213,судья,,,,
,,Баклажец Юлия Петровна,5 лет,27.02.2018 № 88,судья и заместитель председателя суда,,,,
,,Валдайцев Денис Станиславович,бессрочно,"09.08.2017 № 78",судья и председатель суда,22.12.2015  №510,экономический суд Гродненской области,заместитель председателя суда,
,,Дерябина Евгения Эдуардовна,5 лет,22.12.2015 №510,судья,,,,
,,Лях Сергей Иванович,5 лет,22.12.2015 №510,судья и заместитель председателя суда,,,,
,,Рослик Мирина Валерьевна,5 лет,22.12.2015 №510,судья ,22.12.2015  №510,Экономический суд Гомельской области,судья,
,,,,,,,,,
суд Ленинского района г. Гродно,,Мазайло Геннадий Александрович,5 лет,06.02.2020 № 41 ,судья,,,,
,,Петрова Елена Александровна,5 лет,22.08.2018  № 348,судья,,,,
,,Бубенчик Дмитрий Витальевич,5 лет,03.10.2019 № 366,судья,,,,
,,Сергей Казимир Казимирович,5 лет,03.10.2019 № 366,судья,,,,
,,Бовсук Алла Ивановна,бессрочно,09.03.2017 № 77,судья и заместитель председателя суда,,,,
,,Казакевич Юрий Витальевич,бессрочно,01.08.2016 № 297,судья и заместитель председателя суда,,,,
,,Янковский Владимир Николаевич,бессрочно,15.06.2020 № 213,судья и председатель суда,15.06.2020 № 213,Гродненский областной суд ,судья ,перевод
,,Козел Наталья Григорьевна,бессрочно,14.11.2017  № 406,судья,,,,
,,Борель Лариса Викторовна,5 лет,27.02.2018 № 88,судья,,,,
,,"Гурин Руслан Александрович
",5 лет,04.02.2019 № 38,судья,,,,
,,Кобринец Дмитрий Петрович,бессрочно,15.11.2016 № 419,судья,,,,
,,Шуманская Ольга Юрьевна,бессрочно,15.11.2016 № 419,судья,,,,
,,Сергейко Николай Александрович,бессрочно,20.05.2002 № 250,судья,,,,
,,,,,,,,,
суд Октябрьского района г. Гродно,,Казакевич Генрих Феликсович,5 лет,14.11.2017  № 406,судья,,,,
,,Слащев Сергей Александрович,5 лет,15.06.2020 № 213 ,судья,,,,
,,Бекушева Ольга Анатольевна,5 лет,27.02.2018 № 88,судья,,суд Ленинского района,судья,
,,Стасюкевич Ксения Степановна ,5 лет,27.02.2018 № 88,заместитель председателя суда,,суд Ленинского района г. Гродно,судья,
,,Чекрыжовка Татьяна Вячеславовна,5 лет,22.12.2015  №510,судья,,,,
,,Лабоцкий Виталий Николаевич,5 лет,15.10.2020  № 364,судья,,,,
,,Шпак Валерий Иосифович,5 лет,03.10.2019 № 366,судья,,,,
,,Барцевич Зинаида Ивановна,бессрочно,31.05.2019  № 209,судья и председатель суда,,,,
,,Гергель Татьяна Владимировна,бессрочно,31.05.2019  № 209,заместитель председателя суда,,,,
,,Кедаль Дмитрий Иванович,5 лет,31.05.2019  № 209,судья,,,,
,,Романишко Денис Сергеевич,5 лет,31.05.2019  № 209,судья,,,,
,,Толстик-Самойло Елена Александровна,5 лет,31.05.2019  № 209,судья,,,,
,,Хихол Руслан Эдуардович,5 лет,09.03.2017 № 77,судья,,,,
,,Шанин Дмитрий Вячеславович,5 лет,15.11.2016 № 419,судья,,,,
,,,,,,,,,
,,,,,,,,,
суд Гродненского района,,Малявко Майя Евгеньевна,бессрочно,14.11.2017  № 406,судья,,,,
