СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Минский областной суд,,Дунаева Марина Чеслаловна,бессрочно,31.08.2015  №377,судья,,суд Несвижского района,судья и председатель суда и судья,
,,Короткевич Валентина Вадимовна,бессрочно,31.08.2015  №377,судья,,Гомельский областной суд,судья,
,,Левкович Алексей Михайлович,бессрочно,31.08.2015  №377,судья,,,,
,,Вердыш Валентин Алексеевич,бессрочно,14.11.2017  № 406,судья и первый заместитель председателя суда,,минский областной суд,заместитель председателя суда,
,,Клещенок Геннадий Фёдорович,бессрочно,22.08.2018  № 348,судья и заместитель председателя суда,,,,
,,Клещенок Оксана Сергеевна,бессрочно,22.08.2018 № 348,судья,22.08.2018 № 348,суд Борисовского района,,
,,Гончар Светлана Валерьевна,бессрочно,15.10.2020  № 364,судья и заместитель председателя суда,,,,
,,Касперович Эдуард Валерьевич,бессрочно,04.02.2019 № 38,судья и председатель суда,04.02.2019 № 38,Брестский областной суд,первый заместитель председателя суда,
,,Херовец Наталья Викторовна,бессрочно,22.08.2018  № 348,судья,,,,
,,Майко Ирина Леонидовна,5 лет,31.05.2019  № 209,судья,,,,
,,Данилова Анжелика Николаевна,бессрочно,20.08.2013 № 364,судья,20.08.2013 № 364,суд Пуховичского района,судья и председатель суда,
,,Епихов Сергей Александрович,бессрочно,23.04.2014 № 183,судья,23.04.2014 № 183,суд Вилейского района,судья и председатель суда,
,,Староказников Александр Юрьевич,5 лет,15.10.2020  № 364,судья,,суд Минского района,судья,
,,Выдрина Оксана Олеговна,5 лет,21.04.2016  № 153,судья,,суд Борисовского района,судья,перевод в областной суд
,,Лапеко Олег Игоревич,5 лет,03.10.2019 №366,судья,,Бобруйский межгарнизонный военный суд,судья,
,,Козлов Евгений Викторович,бессрочно,14.03.2013 №130,судья,14.03.2013 №130,суд Молодечненского района,судья,
,,Тулейко Вячеслав Иванович,5 лет,01.08.2016 № 297,судья,,суд Столбцовского района,судья и председатель суда и судья,перевод в областной суд
,,Арешко Владимир Викторович,5 лет,15.06.2020 № 213,судья,15.06.2020 № 213,суд Слуцкого района,судья,
,,Бачище Елена Валерьевна,бессрочно,15.11.2016 № 419,судья,,суд Борисовского района,судья,
,,Мисник Елена Михайловна,бессрочно,31.07.2017 № 268,судья,,суд Смолевичского района,судья,
,,,,,,,,,
экономический суд Минской области,,Королева Оксана Сергеевна,5 лет,14.11.2017  № 406,судья,,,,
,,Шпак Ирина Николаевна,5 лет,14.11.2017  № 406,судья,,,,
