СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Могилёвский областной суд,,Конев Сергей Анатольевич,бессрочно,14.11.2017  № 406,судья и первый заместитель председателя суда,,Могилевский областной суд,заместитель председателя суда,
,,Карапетян Татьяна Станиславовна,бессрочно,22.08.2018  № 348,судья,,суд Октябрьского района,судья,
,,Теплова Ирина Леонидовна,бессрочно,22.08.2018  № 348,судья,,,,
,,Буряко Светлана Викторовна,бессрочно,27.02.2018 № 88,судья и заместитель председателя суда,,,,
,,Прошко Игорь Брониславович,бессрочно,27.02.2018 № 88,судья и председатель суда,,,,
,,Картавенко Елена Валерьевна,5 лет,15.06.2020 № 213 ,судья,02.07.2015 № 299,суд Октябрьского района г. Могилева,судья,
,,Яковлев Алексей Николаевич,бессрочно,31.12.2013 № 587,судья,,,,
,,Трифонова Ирина Константиновна,бессрочно,27.02.2018 № 88,судья,,,,
,,Королев Сергей Алексеевич,бессрочно,26.06.2014  № 297,судья,,,,
,,Стальмахова Светлана Ивановна,бессрочно,23.04.2014 № 183,судья и заместитель председателя суда,,,,
,,Романов Александр Петрович,бессрочно,26.05.2017 № 185,судья и заместитель председателя суда,,,,
,,Тропынина Юлия Станиславовна,5 лет,25.05.2017 №185,судья,,суд Ленинского района г. Могилева,судья,
,,Земцов Игорь Федорович,бессрочно,09.03.2017 № 77,судья,09.03.2017 № 77,суд Краснопольского района,судья и председатель суда,
,,Закржевская Виолетта Игоревна,5 лет,15.06.2020 № 213,судья,15.06.2020 № 213,суд Бобруйского района и г. Бобруйска,судья,
,,Шведов Андрей Викторович,5 лет,15.06.2020 № 213 ,судья,15.06.2020 № 213 ,суд Ленинского района г. Могилева,судья,
,,Кичигин Денис Александрович,5 лет,15.06.2020 № 213,судья,15.06.2020 № 213,суд Октябрьского района г. Могилева,судья,
,,Ланчева Ирина Рамизовна,5 лет,15.06.2020 № 213 ,судья,15.06.2020 № 213 ,суд Ленинского района г. Могилева,судья,
,,,,,,,,,
экономический суд Могилевской области,,Адамова Тамара Владимировна,бессрочно,06.02.2020 № 41,судья,,,,
,,Ковалев Сергей Николаевич,бессрочно,31.05.2019  № 209,судья и председатель суда,,,,
,,Ковпаев Сергей Сергеевич,5 лет,14.11.2017  № 406,судья,,,,
,,Моисеева Лилия Николаевна,5 лет,14.11.2017  № 406,судья,,,,
,,Плиско Алла Ивановна,бессрочно,14.11.2017  № 406,судья,,,,
,,Лаптенок Марина Петровна,5 лет,27.02.2018 № 88,судья,,,,
,,Трамбачев Владимир Владимирович,5 лет,27.02.2018 № 88,судья и заместитель председателя суда,,,,
,,Гашпар Татьяна Валентиновна,бессрочно,03.10.2019 №366,судья и заместитель председателя суда,,,,
,,Костяникова Анна Леонидовна,5 лет,03.10.2019 №366,судья,,,,
,,Павлова Екатерина Геннадьевна,5 лет,03.10.2019 №366,судья,,,,
,,Перепёткин Виталий Валерьевич,5 лет,04.02.2019 № 38 ,судья,,,,
,,Половцев Андрей Сергеевич,5 лет,04.02.2019 № 38 ,судья,04.02.2019 № 38 ,суд Климовичского района,судья,
,,Горовец Валентина Владимировна,бессрочно,09.03.2017 № 77,судья,,,,
,,Роговцова Елена Александровна,5 лет,15.11.2016 № 419,судья,,,,
,,,,,,,,,
суд Могилевского района,,Бобко Людмила Петровна,5 лет,06.02.2020 № 41,судья,,,,
,,Полуян Ольга Владимировна,бессрочно,06.02.2020 № 41,судья и председатель суда,от 06.02.2020 № 41,суд Чаусского района ,судья и председатель суда,
,,Холодцов Александр Анатольевич,5 лет,06.02.2020 № 41,судья,,,,
,,Курпаченко Максим Сергеевич,5 лет,31.05.2019  № 209,судья,,,,
,,Гулешова Елена Ивановна,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Климовичского района,,Иваненко Татьяна Александровна,5 лет,22.08.2018  № 348,судья,,,,
,,Голоческий Олег Иванович,бессрочно,27.02.2018 № 88,судья и председатель суда,,,,
,,Елисеенко Татьяна Игоревна,5 лет,03.10.2019 №366,судья,,,,
,,,,,,,,,
суд Кировского района,,Березюк Юлия Анатольевна,5 лет,06.02.2020 № 41,судья и председатель суда,,,,
,,,,,,,,,
суд Кричевского района,,Азаренко Елена Викторовна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Прохоров Сергей Сергеевич,5 лет,22.08.2018  № 348,судья,,,,
,,Шматкова Екатерина Николаевна,5 лет,03.10.2019 №366,судья,,,,
,,,,,,,,,
суд Ленинского района г. Могилёва,,Врублевская Ксения Владимировна,5 лет,06.02.2020 № 41,судья,,,,
,,Кулешова Оксана Петровна,5 лет,14.11.2017  № 406,судья,,,,
,,Лопатина Валентина Степановна,бессрочно,22.08.2018  № 348,судья и заместитель председателя суда,,,,
,,Литвина Елена Васильевна,5 лет,14.11.2017  № 406,судья,,,,
,,Полякова Виктория Николаевна,5 лет,03.10.2019 №366,судья,,,,
,,Манышев Евгений Вадимович,5 лет,22.08.2018  № 348,судья,,суд Борисовского района,судья,
,,Ратникова Оксана Евгеньевна,5 лет,22.08.2018  № 348,судья,,,,
,,Рубис Татьяна Николаевна,бессрочно,22.08.2018  № 348,судья и заместитель председателя суда,,,,
,,Понасенко Наталья Валерьевна,бессрочно,23.04.2014 № 183,судья,,,,
,,Бушкевич Александр Сергеевич,5 лет,25.05.2017 №185,судья,,,,
