СУД (11 - 9 областных игородской иверховный)),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Минский городской суд,,Николаев Сергей Вячеславович,бессрочно,15.10.2020 № 364,судья и первый заместитель председателя суда,,,,
,,Пыкина Наталья Михайловна,бессрочно,06.02.2020 № 41,судья,,,,
,,Фальковская Татьяна Николаевна,5 лет ,06.02.2020 № 41,судья,,суд Московского района г. Минска,судья и председатель суда,
,,Семак Елена Николаевна,бессрочно,31.08.2015 № 377,судья,,суд Центрального района г. Минска,судья и заместитель председателя суда,
,,Ананич Елена Николаевна,бессрочно,07.05.2015  № 196,судья,,суд Первомайского района г. Минска,заместитель председателя суда и судья,
,,Цыкала Дмитрий Юрьевич,5 лет,22.08. 2018  № 348,судья,,суд Первомайского района г. Минска,судья,
,,Шемет Елена Васильевна,бессрочно,22.12.2015  №510,судья,22.12.2015  №510,суд Заводского района г. Минска,заместитель председателя суда и судья,
,,Беляшева Татьяна Александровна,5 лет,15.10.2020  № 364,судья,,,,
,,Головкова Вера Михайловна,5 лет,15.10.2020  № 364,судья,,суд Советского района г. Минска,судья,
,,Дорошенок Татьяна Дмитриевна,5 лет,15.10.2020  № 364,судья,,суд Ленинского района г. Минска,судья,
,,Кучук Дина Валентиновна,бессрочно,02.07.2015 № 299,судья,,,,
,,Писаревич Евгений Викторович,5 лет,15.10.2020  № 364,судья,,суд Фрунзенского района г. Минска,судья,
,,Шестаков Юрий Валерьевич,бессрочно,02.07.2015 № 299,судья,02.07.2015 № 299,суд Московского района г. Минска,заместитель председателя суда и судья,
,,Коршунович Павел Иванович,,04.02.2019 № 38 ,судья и председатель суда,,,,
,,Ромашевская Ольга Анатольевна,бессрочно,15.10.2020  № 364,судья и заместитель председателя суда,,,,
,,Русак Артем Владимирович,5 лет,15.10.2020  № 364,судья,,суд Московского района г. Минска,судья,
,,Черепанова Светлана Анасовна,5 лет,15.10.2020  № 364,судья,,суд Заводского района г. Минска,судья,
,,Лапко Максим Фёдорович,бессрочно,31.12.2013 № 587,судья,31.12.2013 № 587,суд Октябрьского района,судья,
,,Хаткевич Евгений Викторович,бессрочно,31.12.2013 № 587,судья,31.12.2013 № 587,суд Московского района г. Минска,судья,
,,Симахина Любовь Сергеевна,5 лет,27.02.2018 № 88,судья,,,,
,,Жулковская Татьяна Васильевна,бессрочно,23.04.2014 № 183,судья,23.04.2014 № 183,суд Ленинского района г. Минска,заместитель председателя суда и судья,
,,Орлов Петр Александрович,бессрочно,26.06.2014  № 297,судья,,Белорусский военный суд,судья,
,,Чадюк Евгений Александрович,5 лет,03.10.2019 №366,судья,,,,
,,Козлова Марина Владимировна,5 лет,31.07.2017 № 268,судья,31.07.2017 № 268,суд Центрального района г. Минска,судья и председатель суда,
,,Брысина Жанна Леонидовна,бессрочно,09.03.2017 № 77,судья,09.03.2017 № 77,суд Заводского района г. Минска,судья и заместитель председателя суда,
,,Бычко Алексей Викторович,5 лет,31.07.2017 № 268,судья,,,,
,,Рудницкая Елена Борисовна,бессрочно,31.07.2017 № 268,судья,,суд Московского района г. Минска,судья,
,,,,,,,,,
Экономический суд г. Минска ,,Баранова Елена Николаевна,5 лет,22.08.2018  № 348,судья,,,,
,,Волошиненко Юрий Георгиевич,5 лет,22.12.2015  №510,судья,22.12.2015  №510,суд Советского района г. Гомеля,судья,
,,Драбудько Алина Игоревна,5 лет,21.04.2016  № 153,судья,,,,
,,Дроздовская Кэтрин Дениза Мигель Анхель,5 лет,15.06.2020 № 213,судья,,,,
,,Есьман Екатерина Вячеславовна,5 лет,15.10.2020  № 364,судья,,суд Октябрьского района г. Минска,судья,
,,Мысливец Наталия Генриховна,5 лет,04.02.2019 № 38 ,судья,,,,
,,Зайцева Наталия Анатольевна,5 лет,22.12.2015  №510,судья,,,,
,,Земцов Олег Александрович,,21.04.2016  № 153,судья,,суд Заводского района г. Минска,судья,
,,Касьянчик Алеся Владимировна,5 лет,14.11.2017  № 406,судья,,,,
,,Крук Елена Владимировна,5 лет,21.04.2016  № 153,судья,,,,
,,Маныкина Наталья Александровна,5 лет,31.05.2019  № 209,судья,,,,
,,Олешкевич Андрей петрович,5 лет,22.12.2015  №510,судья и заместитель председателя суда,,,,
,,Паутов Александр Михайлович,,22.08.2018  № 348,судья и председатель суда,,Верховный Суд,судья,
,,Пигуль Анна Михайловна,5 лет,15.06.2020 № 213,судья,,,,
,,Сакович Алексей Сергеевич,5 лет,03.10.2019 №366,судья,,,,
,,Сапега Татьяна Николаевна,5 лет,14.11.2017  № 406,судья,,,,
,,Скурчинская Кристина Валерьевна,5 лет,14.11.2017  № 406,судья,,,,
,,Смирнова Алла Михайловна,5 лет,31.05.2019  № 209,судья,,,,
,,Товкач Дмитрий Валерьевич,5 лет,25.05.2017 №185,судья,,,,
,,Тупик Татьяна Викторовна,,21.04.2016  № 153,судья и заместитель председателя суда,,,,
,,Ханевский Александр Александрович,5 лет,27.02.2018 № 88,судья,,,,
,,Шкутько Елена Александровна,5 лет,25.05.2017 №185,судья,,,,
,,Шпилевская Екатерина Александровна,5 лет,15.10.2020  № 364,судья,,,,
,,Язвинский Дмитрий Вячеславович,,25.05.2017 №185,судья и заместитель председателя суда,,,,
,,Дубовская Анастасия Николаевна,5 лет,09.03.2017 № 77,судья,,,,
,,Гашкова Ольга Валерьевна,5 лет ,01.08.2016  № 297,судья,,,,
,,Марчук Светлана Ивановна,бессрочно,01.08.2016  № 297,судья,,,,
,,Угрин Алексей Сергеевич,5 лет ,01.08.2016  № 297,судья,,,,
,,Добровольский Донат Александрович,5 лет,15.11.2016 № 419,судья,,,,
,,Койро Эрнест Андреевич,5 лет,15.11.2016 № 419,судья,,,,
,,Курадовец Сергей Аркадьевич,5 лет,15.11.2016 № 419,судья,,,,
,,Михайлова Татьяна Владимировна,5 лет,15.11.2016 № 419,судья,,,,
,,Мойсейчик Иван Григорьевич,5 лет,15.11.2016 № 419,судья,,суд Центрального района г. Минска,судья,
,,Мурашкин Игорь Игоревич,5 лет,15.11.2016 № 419,судья,,,,
,,Сосонко Артём Михайлович,5 лет,15.11.2016 № 419,судья,,,,
,,Попко Анастасия Павловна,5 лет,04.02.2019 № 38 ,судья,04.02.2019 № 38 ,суд Первомайского района г. Минска,судья,
