ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Андреева Наталья Владимировна,07-000-00-02,судья,назначен,,бессрочно,
Андреева Наталья Владимировна,05-002-03-01,судья,освобожден,,,
Таперкина Светлана Васильевна,07-000-00-02,судья,назначен,,бессрочно,
Таперкина Светлана Васильевна,05-002-03-01,судья,освобожден,,,
Бреган Евгений Анатольевич,01-003-03-01,судья,назначен,на время нахождения в социальном отпуске Копач Оксаны Александровны,на период,
Вакульчик Наталья Ивановна,01-005-03-01,судья,назначен,,лет,5
Гречаник Елена Николаевна,хозяйственный суд,судья,назначен,,лет,5
Ковальчук Елена Степановна,01-002-03-01,судья и заместитель председателя,назначен,,лет,5
Прокопчук Александр Анатольевич,01-015-03-01,судья,назначен,,лет,5
Серкова Татьяна Михайловна,01-015-03-01,судья,назначен,,лет,5
Смирнова Ольга Кононовна,01-014-03-01,председатель,назначен,,бессрочно,
Судник Татьяна Ивановна,01-015-03-01,судья,назначен,,лет,5
Судник Татьяна Ивановна,01-011-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Левчук Виктории Викторовны,,
Верташонок Елена Эдуардовна,02-003-03-01,заместитель председателя,назначен,,бессрочно,
Волкова Светлана Ивановна,02-003-03-01,судья,назначен,,лет,5
Гуринова Анна Дмитриевна,02-008-03-01,судья,назначен,на время нахождения в социальном отпуске Носовой Александры Александровны,,на период,
Дасько Наталья Евгеньевна,02-002-03-03,судья,назначен,,бессрочно,
Доминич Рада Васильевна,02-017-03-01,судья,назначен,,лет,5
Ильюшонок Ольга Владимировна,02-002-03-03,заместитель председателя,назначен,,бессрочно,
Ковалева Ирина Васильевна,хозяйственный суд,судья,назначен,,лет,5
Коваленко Людмила Геннадьевна,02-006-03-01,председатель,назначен,,бессрочно,
Котова Ирина Васильевна,02-019-03-01,судья,назначен,,лет,5
Лапко Виталий Олесевич,02-015-03-01,судья,назначен,,лет,5
Лапшова Мария Георгиевна,02-002-03-02,судья,назначен,,лет,5
Михасева Валентина Алексеевна,02-002-03-02,судья,назначен,,бессрочно,
Прокопчик Ольга Брониславовна,02-005-03-01,председатель,назначен,,бессрочно,
Родина Татьяна Михайловна,02-002-03-03,судья,назначен,,бессрочно,
Ульский Александр Викторович,02-009-03-01,председатель,назначен,,бессрочно,
Хаткевич Юлия Анатольевна,02-014-03-01,судья,назначен,,лет,5
Загоровская Валентина Александровна,03-014-03-01,заместитель председателя,назначен,,бессрочно,
Козырев Виталий Васильевич,03-002-03-01,судья,назначен,,бессрочно,
Лавшук Василий Васильевич,хозяйственный суд,судья,назначен,,бессрочно,
Лучковская Елена Павловна,03-022-03-01,судья,назначен,,лет,5
Мартынов Евгений Владимирович,03-006-03-01,судья,назначен,,лет,5
Порядина Анастасия Викторовна,03-014-03-01,судья,назначен,,лет,5
Свидунович Галина Николаевна,03-020-03-01,заместитель председателя,назначен,,бессрочно,
Сотников Анатолий Григорьевич,03-002-03-01,судья,назначен,,лет,5
Шамехин Алексей Васильевич,03-000-03-01,судья,назначен,,лет,5
Гурин Руслан Александрович,04-002-03-01,судья,назначен,,лет,5
Дивнель Леонард Леонардович,04-004-03-01,заместитель председателя,назначен,,бессрочно,
Долгошей Светлана Ивановна,04-000-03-01,судья,назначен,,бессрочно,
Долгошей Светлана Ивановна,04-001-03-01,судья,освобожден,,,
Казакевич Виталий Григорьевич,04-014-03-01,председатель,назначен,,бессрочно,
Лях Сергей Иванович,хозяйственный суд,судья,назначен,,лет,5
Пипко Сергей Николаевич,04-010-03-01,председатель,назначен,,бессрочно,
Радионик Наталья Федоровна,04-016-03-01,судья и заместитель председателя,назначен,,бессрочно,
Синило Виталий Викторович,04-011-03-01,председатель,назначен,,бессрочно,
Филатов Максим Юрьевич,04-010-03-01,судья и заместитель председателя,назначен,,лет,5
Васьковский Сергей Альбертович,хозяйственный суд,судья,назначен,,бессрочно,
Выдрина Оксана Олеговна,05-005-03-01,судья,назначен,,лет,5
Горонков Михаил Павлович,хозяйственный суд,судья,назначен,,бессрочно,
Еленский Руслан Сергеевич,хозяйственный суд,судья,назначен,,лет,5
Кисель Елена Сергеевна,05-010-03-01,судья,назначен,,лет,5
Лутова Татьяна Николаевна,05-014-03-01,судья,назначен,,лет,5
Матейко Виктория Витальевна,05-001-03-01,судья,назначен,,лет,5
Мисюк Елена Вацлавовна,05-015-03-01,судья,назначен,,лет,5
Поляк Людмила Сергеевна,хозяйственный суд,судья,назначен,на время нахождения в социальном отпуске Королевой Оксаны Сергеевны,на период,
Сивакова Любовь Станиславовна,05-011-03-01,председатель,назначен,,бессрочно,
Стреж Эмилия Викторовна,05-006-03-01,судья,назначен,,лет,5
Трофимчук Алла Александровна,05-020-03-01,заместитель председателя,назначен,,бессрочно,
Шаринская Анна Николаевна,хозяйственный суд,судья,назначен,,лет,5
