ФИО судьи,Должность,"Декрет  (номер, дата)",какой суд,причина
Абрамович Мария Марьяновна,судья,14.11.2017  № 406,суд Молодечненского района,выход в отставку
Бардович Игорь Михайлович,судья и председатель суда,14.11.2017  № 406,суд Борисовского района,выход в отставку
Глюза Анатолий Валентинович,судья,14.11.2017  № 406,суд Житковичского района,выход в отставку
Гучка Владимир Иосифович,судья,14.11.2017  № 406,Минский областной суд,выход в отставку
Дудченкова Ирина Николаевна,судья,14.11.2017  № 406,Суд Быховского района,выход в отставку
Качанова Антонина Васильевна,судья,14.11.2017  № 406,Суд Кричевского района,выход в отставку
Коннова Жанна Львовна,судья,14.11.2017  № 406,экономический суд Могилёвской  области,выход в отставку
Красногирь Наталья Спартаковна,судья,14.11.2017  № 406,экономический суд г. Минска,выход в отставку
Черепухо Наталья Ивановна,судья,14.11.2017  № 406,суд Бобруйского района и г. Бобруйска,по собственному желанию
Шейна Юлия Викторовна,судья,14.11.2017  № 406,суд Октябрьского района г. Гродно,истечение срока полномочий
Гудыно Дмитрий Юрьевич,судья и председатель суда и судья,31.08.2015  №377,Суд Быховского района,по собственному желанию
Гуринович Ирина Александровна,судья,31.08.2015  №377,суд Климовичского района,выход в отставку
Комеля Геннадий Аркадьевич,судья,31.08.2015  №377,Минский областной суд,выход в отставку
Мошарский Олег Александрович,судья,31.08.2015  №377,Витебский областной суд,выход в отставку
Прокопович Ольга Ивановна,заместитель председателя суда,31.08.2015  №377,Суд Солигорского района,по собственному желанию
Сучок Александр Михайлович,судья,31.08.2015  №377,Суд Браславского района,по собственному желанию
Воловик Зинаида Никоноровна,судья,22.12.2015  №510,Минский городской суд,выход в отставку
Иванова Ольга Анатольевна,судья,22.12.2015  №510,Суд Октябрьского района г. Витебска,по собственному желанию
Кольцов Андрей Леонидович,судья,22.12.2015  №510,Экономический суд Минской области,выход в отставку
Коровина Наталья Владимировна,судья,22.12.2015  №510,Суд Фрунзенского района г. Минска,истечение срока полномочий
Костюкевич Валерий Евгеньевич,судья и председатель суда и судья,22.12.2015  №510,Экономический суд Гродненской области,выход в отставку
Мазовка Анжелика Михайловна,судья,22.12.2015  №510,суд Советского района г. Минска,истечение срока полномочий
Павлюченко Дмитрий иванович,судья,22.12.2015  №510,суд Советского района г. Минска,истечение срока полномочий
Ревинская Татьяна Владимировна,судья,22.12.2015  №510,Минский городской суд,выход в отставку
Скоблик Наталия Васильевна,судья,22.12.2015  №510,Экономический суд Гомельской области,выход в отставку
Хома Ольга Васильевна,судья,22.12.2015  №510,Суд Крупского района,выход в отставку
Янович Зинаида Николаевна,судья,22.12.2015  №510,Экономический суд Минской области,выход в отставку
Баженова Валентина Викторовна,судья,7.05. 2015  № 196,Верховный суд ,выход в отставку
Близнева Людмила Васильевна,заместитель председателя суда,7.05. 2015  № 196,Суд Полоцкого района и г. Полоцка,истечение срока полномочий
Борисовец Людмила Викторовна,судья,7.05. 2015  № 196,Суд Слуцкого района,выход в отставку
Босько Ирина Вацлавовна,судья,7.05. 2015  № 196,Суд Октябрьского района г. Минска,выход в отставку
Васьковский Сергей Альбертович,судья,7.05. 2015  № 196,Экономический суд Минской области,по собственному желанию
Гурко Леонид Николаевич,судья,7.05. 2015  № 196,Витебский областной суд,выход в отставку
Дегтерева Валентина Николаевна,судья,7.05. 2015  № 196,Суд Дубровенского района ,выход в отставку
Литвинович Сергей Георгиевич,судья,7.05. 2015  № 196,Суд Молодечненского района ,по собственному желанию
Масальская Татьяна Владимировна,судья,7.05. 2015  № 196,Суд Первомайского района г. Минска,истечение срока полномочий
Новик Николай Николаевич,судья,7.05. 2015  № 196,Суд Столбцовского района ,истечение срока полномочий
Прокопович София Васильевна,судья,7.05. 2015  № 196,Суд Октябрьского района г. Минска ,выход в отставку
Семенюк Николай Сергеевич,судья,7.05. 2015  № 196,суд Бобруйского района и г. Бобруйска,выход в отставку
Семуков Михаил Андреевич,судья,7.05. 2015  № 196,Верховный суд ,выход в отставку
Стаховец Федор Владимирович,судья,7.05. 2015  № 196,Суд Столинского района ,выход в отставку
Терехова Елена Михайловна,судья,7.05. 2015  № 196,Суд Витебского района ,выход в отставку
Буякевич Ирина Васильевна,судья,22.08.2018  № 348,Минский областной суд ,выход в отставку
Геращенко Надежда Алексеевна,судья,22.08.2018  № 348,Суд Минского района,по собственному желанию
Гладышева Наталья Васильевна,судья,22.08.2018  № 348,Суд Новобелицкого района г. Гомеля,выход в отставку
Дешева Валентина Анатольевна ,судья,22.08.2018  № 348,Суд Октябрьского района г. Минска,истечение срока полномочий
Домрич Тамара Тимофеевна,судья,22.08.2018  № 348,Могилевский областной суд,выход в отставку
Ермоленкова Ирина Валерьевна,судья,22.08.2018  № 348,Экономический суд г. Минска,выход в отставку
Ермолович Татьяна Евгеньевна,судья,22.08.2018  № 348,Минский городской суд,выход в отставку
Закревская Ирина Олеговна,судья,22.08.2018  № 348,Суд Октябрьского района г. Витебска,по собственному желанию
Ивличева Ирина Олеговна,судья,22.08.2018  № 348,Суд Речицкого района,"совершение проступка, несовместимого с нахождением на государственной службе"
Камушкин Андрей Михайлович,судья,22.08.2018  № 348,Суд Ленинского района г. Минска ,истечение срока полномочий
Леванчук Мария Ильинична,заместитель председателя суда,22.08.2018  № 348,Суд Московского района г. Бреста,истечение срока полномочий (оставлена в должности судьи)
Миронюк Олег Степанович,судья,22.08.2018  № 348,Суд Ленинского района г. Бреста,вступление в законную силу обвинительного приговора
Подгол Пётр Александрович,судья,22.08.2018  № 348,Суд Оршанского района и г. Орши,выход в отставку
Русак Александр Михайлович,заместитель председателя суда,22.08.2018  № 348,Суд Осиповичского района,истечение срока полномочий (оставлен в должности судьи)
Соломейчук Василий Владимирович,судья,22.08.2018  № 348,Суд Рогачевского района,выход в отставку
Чаплыгина Ирина Васильевна,судья,22.08.2018  № 348,Суд Горецкого района,выход в отставку
Шурпо Светлана Сергеевна,заместитель председателя суда,22.08.2018  № 348,Суд Речицкого района,истечение срока полномочий (оставлена в должности судьи)
Белоусов Василий Леонидович,заместитель председателя суда,02.07.2015 № 299,Гомельский областной суд,истечение срока полномочий(оставлен в должности судьи)
Жданович Игорь Николаевич,судья и председатель суда и судья,02.07.2015 № 299,экономический суд г. Минска,"совершение проступка, несовместимого с нахождением на государственной службе"
Камалыева Зинаида Михайловна,судья,02.07.2015 № 299,Гомельский областной суд,выход в отставку
Климова Татьяна Викторовна,судья,02.07.2015 № 299,суд Октябрьского района г. Гродно,выход в отставку
Клюйко Олег Владимирович,судья,02.07.2015 № 299,экономический суд г. Минска,"совершение проступка, несовместимого с нахождением на государственной службе"
