Код комиссии,"1. Агульная колькасць выбаршчыкаў на ўчастку (вызначаецца па спісу грамадзян, якія маюць права ўдзельнічаць у выбарах)","2. Колькасць выбаршчыкаў, якія атрымалі бюлетэні (вызначаецца шляхам падліку подпісаў выбаршчыкаў у спісе грамадзян, якія маюць права ўдзельнічаць у выбарах","3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні (вызначаецца шляхам падліку бюлетэняў, якія знаходзіліся ў скрынках для галасавання)","3.1. Колькасць выбаршчыкаў, якія прынялі ўдзел у датэрміновым галасаванні","3.2. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні па месцы знаходжання","3.3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні ў дзень выбараў у памяшканні ўчастка для галасавання",Дмитриев Андрей Владимирович,Канопацкая Анна Анатольевна,Лукашенко Александр Григорьевич,Тихановская Светлана Георгиевна,Черечень Сергей Владимирович,"5. Колькасць галасоў, пададзеных за кандыдата (кандыдатаў), які (якiя) выбыў (выбылі) у перыяд датэрміновага галасавання","6. Колькасць галасоў, пададзеных супраць усiх кандыдатаў","7. Колькасць галасоў, пададзеных супраць кандыдата, калi галасаванне праводзілася па адной кандыдатуры","8. Колькасць бюлетэняў, прызнаных несапраўднымі","9. Колькасць бюлетэняў, атрыманых участковай выбарчай камісіяй",10. Колькасць сапсаваных бюлетэняў,11. Колькасць нявыкарыстаных (пагашаных) бюлетэняў,Вложение 1,Вложение 2,Вложение 3,Вложение 4,Вложение 5,Вложение 6,Вложение 7,Комментарий,,
01-010-0001,1656,1329,1319,252,4,1063,21,16,464,701,16,,96,,5,1660,1,330,https://elections2020by.s3.eu-north-1.amazonaws.com/6bj16tga8nfwojsl1u8y74t5s99t,,,,,,,,,
01-010-0002,2646,,2249,707,37,1505,43,25,994,948,32,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/912_cc1b62b8739184ed93fb,,,,,,,,,
01-010-0004,1805,1717,1714,537,42,1135,32,26,1125,395,24,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/kxfl5hz86wlo3mh08vxwobc23duh,,,,,,,,,
01-010-0005,2270,2122,2122,863,23,1236,42,21,1596,412,50,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0005_906f3e802af213aa13d62d14b1ff9fb4bef5e696,,,,,,,,,
01-010-0006,2746,2383,2383,507,20,1856,53,28,923,1157,48,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/916_d30e9cc209c8a554f2d0,,,,,,,,,
01-010-0007,2319,1829,1829,249,56,1524,43,19,567,1010,44,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/b06npe20mmmxp1cmta1zet58rv3z,,,,,,,Одна страница,,
01-010-0008,1955,1772,1772,297,56,1419,34,34,803,782,41,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0008_aac69797ce1c1651c54701350ee4f3a61d6f17c6,,,,,,,,,
01-010-0010,1107,974,973,336,6,631,22,10,441,443,10,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0010_838340473c701380e376da9ca76ab5575bf4cffc,,,,,,,,,
01-010-0011,1995,1807,1807,691,13,1103,26,19,984,682,15,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/921_3339d9a8eefa23ca5d2f,,,,,,,,,
01-010-0012,1737,1504,1504,557,81,866,21,38,863,533,26,,23,,,1760,,256,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0012_eb4cebf353dde90464a35f8394f423db3cc07731,,,,,,,,,
01-010-0015,1012,911,910,303,26,581,31,9,379,110,21,,52,,4,1020,1,168,https://elections2020by.s3.eu-north-1.amazonaws.com/92egdbz1a19zbyflyr72b7lgznsw,,,,,,,"Плохо видны цифры, в особенности в пункте 4. Везде слово ""подпись"".",,
01-010-0017,1442,1190,1190,235,113,842,6,5,608,500,7,,64,,,1500,,310,https://elections2020by.s3.eu-north-1.amazonaws.com/927_e57fe40425e60e91c23c,https://elections2020by.s3.eu-north-1.amazonaws.com/927_131af48cae490cfcce80,,,,,,,,
01-010-0020,837,624,624,139,16,469,16,11,199,336,7,,46,,9,790,2,164,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0021_28f49cd2caea7438c8c860394cf90d1ee658d5f6,,,,,,,,,
01-010-0021,1421,1116,782,240,94,782,9,11,597,450,14,,34,,1,1370,,254,https://elections2020by.s3.eu-north-1.amazonaws.com/wtyf5ed4l5ih3i3o8qto6khin8fe,,,,,,,,,
01-010-0022,1564,1256,1256,330,89,837,17,25,622,518,21,,49,,4,1580,1,323,https://elections2020by.s3.eu-north-1.amazonaws.com/ct9ye9d1i0bdjrq0ooov8zone7iw,https://elections2020by.s3.eu-north-1.amazonaws.com/fl6g2qd9u2x0wyrrag7y82yjilbm,,,,,,,,
01-010-0023,1673,1395,1394,490,50,854,42,23,776,458,16,,62,,17,1760,0,365,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0023_21834675c06ed11343c6ee0763e6983397598451,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0023_7a8c7af509d0cc6499191da5e33aa35e7beea2e3,,,,,,,,
01-010-0025,2217,1898,1898,320,40,1538,36,24,548,1107,36,,130,,17,2310,0,412,https://elections2020by.s3.eu-north-1.amazonaws.com/e0ksd3g4gkdxf4ypal53dukgnqza,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0025_7f6334d5c1a0ee3f823bcd9b5bf2ae31ec011ebb,,,,,,,,
01-010-0027,1407,1361,1360,409,59,892,19,9,761,465,10,,90,,6,1540,0,179,https://elections2020by.s3.eu-north-1.amazonaws.com/937_eb56fbb3ad3fa39c43fe,https://elections2020by.s3.eu-north-1.amazonaws.com/937_66c1a7a8742aa8216b8e,,,,,,,,
01-010-0028,1953,1659,1659,232,77,1350,33,35,374,764,29,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/dwuey772ws8ia8kivqsa486w9px9,,,,,,,,,
01-010-0031,2017,1906,1906,676,23,1207,47,56,1012,610,65,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/dcute1o0b8jzcxnypexjeef1lfny,,,,,,,,,
