id,name,url,location,latitude,longitude,description,postal_code,phone,email,type
1,Белорусское ОО ветеранов,http://www.mintrud.gov.by/ru/BOOV,"г.Минск, пр. Победителей, 23, к.2",53.91173,27.541024,,,,,0
2,Социал-демократическая партия Народного Согласия,,"г.Минск, ул.К. Маркса, д. 10",53.8964,27.5554,,,,,0
3,Республиканская партия труда и справедливости,https://rpts.by/,"г.Минск, пр.Победителей, 23/3",53.9114,27.5412,,,,,0
4,РОО «Белая Русь»,https://belayarus.by/,"г.Минск, ул.Фрунзе, 5 - 300",53.9061,27.5746,,,,,0
5,РОО «Белорусское Общество Красного Креста»,https://redcross.by/,"г. Минск, ул. Карла Маркса, 35",53.915487,27.565997,,,,,0
6,Белорусская партии левых «Справедливый мир»,http://spravmir.org/,"г.Минск, ул.Радиальная, д. 11А",53.8886,27.6448,,,,,0
7,Коммунистическая партия Беларуси,http://www.comparty.by/,"г.Минск, ул.Чичерина 21, к.412",53.915476,27.56597,,,,,0
8,ОО «Белорусский союз женщин»,http://oobsg.by/,"г.Минск, ул.Интернациональная, 11а",53.9021,27.5537,,,,,0
9,ОО «Белорусский союз ветеранов органов пограничной службы»,https://bsv.gpk.gov.by/veteran/,"г. Минск, ул. Володарского 24",53.895273,27.553843,,,,,0
10,ОО «Белорусское общество инвалидов»,https://beloi.by/,"г.Минск, ул.Калинина, 7",53.9257,27.6063,,,,,0
11,ОО «Белорусский республиканский союз молодежи»,http://www.brsm.by/,"г. Минск, 220030, ул. К. Маркса, 40",52.439,31.0044,,220030,,,0
12,ОО «Белорусский союз ветеранов войны в Афганистане»,,"г. Минск, ул. Киселева, 11",53.911064,27.571368,,,,,0
13,ОО «Лига коммунистической молодежи»,https://vk.com/lkm_by,"г.Минск, ул.Чичерина 21, к.412",53.915476,27.56597,,,,,0
14,ОО «Белорусский союз офицеров»,https://www.mil.by/ru/bso/,"г. Минск, ул. Красноармейская, 3, ЦДО, комната 15",53.902263,27.564728,,,,,0
15,ОО «Белорусский фонд мира»,https://fondmira.by/,"г. Минск, ул. Сторожевская, 5",53.909298,27.55676,,,,,0
16,Белорусский профессиональный союз работников связи,https://svyaz.1prof.by/,"г.Минск, пр.Победителей, 21",53.911,27.5452,,,,,0
17,Белорусский профессиональный союз работников строительства и промышленности строительных материалов,https://stroy.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
18,Белорусский профессиональный союз работников местной промышленности и коммунально-бытовых предприятий,https://jkh.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
19,Белорусский профессиональный союз работников легкой промышленности,https://proflegprom.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
20,"Белорусский профессиональный союз работников энергетики, газовой и топливной промышленности",https://energo.1prof.by/,"г. Минск, ул.Старовиленская, 100а",53.919398,27.563319,,,,,0
21,Белорусский профессиональный союз работников государственных и других учреждений,https://profgos.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
22,"Белорусский профессиональный союз работников культуры, информации, спорта и туризма",https://kult.1prof.by/,"г.Минск, пр.Победителей 21",53.911,27.5452,,,,,0
23,Белорусский профессиональный союз работников агропромышленного комплекса,https://apk.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
24,Белорусский профессиональный союз работников леса и природопользования,https://les.1prof.by/,"г.Минск, пр.Победителей 21",53.911,27.5452,,,,,0
25,Белорусский профессиональный союз работников здравоохранения,https://profmed.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
26,Белорусский профессиональный союз работников образования и науки,https://estu.1prof.by/,"г.Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
27,Белорусский профессиональный союз работников транспорта и коммуникаций,https://belproftrans.1prof.by/,"г.Минск, ул.Первомайская, 18",53.9004,27.5749,,,,,0
28,Белорусский профессиональный союз работников отраслей промышленности «Белпрофмаш»,https://belprofmash.1prof.by/,"г.Минск, пр.Победителей 21",53.911,27.5452,,,,,0
29,"Белорусский профессиональный союз работников торговли, потребительской кооперации и предпринимательства",https://proftorg.1prof.by/,"г. Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
30,"Белорусский профессиональный союз работников химической, горной и нефтяной отраслей промышленности",https://himprof.1prof.by/,"г. Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
31,РОО «Белорусский детский фонд»,http://www.bcf.by/,"г. Минск, пр. Независимости, 31",53.908257,27.571994,,,,,0
32,Белорусский профессиональный союз банковских и финансовых работников,https://bank.1prof.by/,"г. Минск, пр-т Победителей, 21",53.911,27.5452,,,,,0
33,Белорусская аграрная партия,,"г.Минск,ул.Фабрициуса,7А",53.889852,27.538082,,,,,0
34,ОО «Белорусская ассоциация врачей»,https://www.beldoc.by/,"г. Минск, пр-т. Независимости, 64",53.919462,27.594938,,,,,0
35,Палата представителей Национального собрания Республики Беларусь,http://www.house.gov.by/,"г. Минск, ул. Советская, 11",53.89618,27.546257,,,,,0
36,ОО ветеранов КГБ «Честь»,,"г. Минск,ул. Комсомольская, 30",53.89952,27.55466,,,,,0
37,ОО «Белорусский союз ветеранов органов пограничной службы»,https://bsv.gpk.gov.by/,"г. Минск, ул. Володарского, 24",53.89531,27.55382,,,,,0
38,Брестский областной лицей имени П.М. Машерова,http://xn--90aalbohlaysmm1d.xn--90ais/,"г. Брест, пр. Машерова, 25",52.08534,23.69883,,,,,0
39,ГУО «Гимназия № 2 г.Бреста»,https://gymn2brest.schools.by/,"г. Брест, ул. Московская, 332/5",52.09978,23.76119,,,,,0
40,ГУО «Гимназия № 4 г.Бреста»,https://gymn4brest.schools.by/,"г. Брест, ул. Московская, 338/4",52.10424,23.76538,,,,,0
41,ГУО «Гимназия № 5 г.Бреста»,https://gymn5brest.schools.by/,"г. Брест, ул. Дубровская, 14",52.12796,23.65273,,,,,0
42,ГУО «Гимназия № 6 г.Бреста имени Маршала Советского Союза Жукова Г.К.»,https://gymn6brest.schools.by/,"г. Брест, ул. Суворова, 1",52.06099,23.73716,,,,,0
43,ГУО «Лицей № 1 имени А.С.Пушкина г.Бреста»,https://liceum1brest.schools.by/,"г. Брест, ул. Орловская, 63",52.10777,23.78299,,,,,0
44,ГУО «Средняя школа № 1 г.Бреста»,https://1brest.schools.by/,"г. Брест, ул. Колесника, 6",52.07465,23.72408,,,,,0
45,ГУО «Средняя школа № 3 г.Бреста»,https://brest3.schools.by/,"г. Брест, б-р Космонавтов, 60",52.09663,23.69793,,,,,0
46,ГУО «Средняя школа № 4 г.Бреста»,https://4brest.schools.by/,"г. Брест, ул. Волынская, 26",52.06572,23.68961,,,,,0
47,ГУО «Средняя школа № 5 г.Бреста»,https://5brest.schools.by/,"г. Брест, ул. Писателя Смирнова, 63",52.10549,23.64652,,,,,0
48,ГУО «Средняя школа № 6 г.Бреста»,https://6brest.schools.by/,"г. Брест, ул. Панфиловцев, 22",52.10038,23.71519,,,,,0
49,ГУО «Средняя школа № 7 г.Бреста»,https://7brest.schools.by/,"г. Брест, ул. Горького, 20",52.10046,23.69851,,,,,0
50,ГУО «Средняя школа № 8 г.Бреста имени Героя Беларуси В.Н. Карвата»,https://8brest.schools.by/,"г. Брест, ул. Железнодорожная, 16",52.10102,23.67049,,,,,0
